Quadrant,adm_name,ISO3
High MHC / Low MHI,Tuvalu,TUV
High MHC / Low MHI,Vanuatu,VUT
Low MHC / High MHI,Albania,ALB
Low MHC / High MHI,Argentina,ARG
Low MHC / High MHI,Armenia,ARM
Low MHC / High MHI,Australia,AUS
Low MHC / High MHI,Azerbaijan,AZE
Low MHC / High MHI,Bosnia and Herzegovina,BIH
Low MHC / High MHI,Brazil,BRA
Low MHC / High MHI,Bulgaria,BGR
Low MHC / High MHI,Croatia,HRV
Low MHC / High MHI,Eswatini,SWZ
Low MHC / High MHI,France,FRA
Low MHC / High MHI,Georgia,GEO
Low MHC / High MHI,Hungary,HUN
Low MHC / High MHI,Israel,ISR
Low MHC / High MHI,Italy,ITA
Low MHC / High MHI,Kazakhstan,KAZ
Low MHC / High MHI,Kyrgyzstan,KGZ
Low MHC / High MHI,Lesotho,LSO
Low MHC / High MHI,Malawi,MWI
Low MHC / High MHI,Moldova,MDA
Low MHC / High MHI,Montenegro,MNE
Low MHC / High MHI,Nepal,NPL
Low MHC / High MHI,North Macedonia,MKD
Low MHC / High MHI,Paraguay,PRY
Low MHC / High MHI,Qatar,QAT
Low MHC / High MHI,Republic of Türkiye,TUR
Low MHC / High MHI,Romania,ROU
Low MHC / High MHI,Russian Federation,RUS
Low MHC / High MHI,Senegal,SEN
Low MHC / High MHI,Serbia,SRB
Low MHC / High MHI,South Africa,ZAF
Low MHC / High MHI,Ukraine,UKR
Low MHC / High MHI,Zambia,ZMB
Low MHC / Low MHI,Andorra,AND
Low MHC / Low MHI,Angola,AGO
Low MHC / Low MHI,Australia,AUS
Low MHC / Low MHI,Austria,AUT
Low MHC / Low MHI,Barbados,BRB
Low MHC / Low MHI,Belarus,BLR
Low MHC / Low MHI,Belgium,BEL
Low MHC / Low MHI,Bhutan,BTN
Low MHC / Low MHI,Brunei Darussalam,BRN
Low MHC / Low MHI,Burundi,BDI
Low MHC / Low MHI,Canada,CAN
Low MHC / Low MHI,Chile,CHL
Low MHC / Low MHI,Colombia,COL
Low MHC / Low MHI,Congo,COG
Low MHC / Low MHI,Costa Rica,CRI
Low MHC / Low MHI,Cyprus,CYP
Low MHC / Low MHI,Czechia,CZE
Low MHC / Low MHI,Democratic People's Republic of Korea,PRK
Low MHC / Low MHI,Denmark,DNK
Low MHC / Low MHI,Djibouti,DJI
Low MHC / Low MHI,Ecuador,ECU
Low MHC / Low MHI,Equatorial Guinea,GNQ
Low MHC / Low MHI,Estonia,EST
Low MHC / Low MHI,Ethiopia,ETH
Low MHC / Low MHI,Finland,FIN
Low MHC / Low MHI,Gabon,GAB
Low MHC / Low MHI,Germany,DEU
Low MHC / Low MHI,Greece,GRC
Low MHC / Low MHI,Guatemala,GTM
Low MHC / Low MHI,Iceland,ISL
Low MHC / Low MHI,Indonesia,IDN
Low MHC / Low MHI,Ireland,IRL
Low MHC / Low MHI,Kenya,KEN
Low MHC / Low MHI,Latvia,LVA
Low MHC / Low MHI,Lebanon,LBN
Low MHC / Low MHI,Liberia,LBR
Low MHC / Low MHI,Lithuania,LTU
Low MHC / Low MHI,Luxembourg,LUX
Low MHC / Low MHI,Malaysia,MYS
Low MHC / Low MHI,Malta,MLT
Low MHC / Low MHI,Mongolia,MNG
Low MHC / Low MHI,Nauru,NRU
Low MHC / Low MHI,Netherlands,NLD
Low MHC / Low MHI,New Zealand,NZL
Low MHC / Low MHI,Norway,NOR
Low MHC / Low MHI,Panama,PAN
Low MHC / Low MHI,Papua New Guinea,PNG
Low MHC / Low MHI,Peru,PER
Low MHC / Low MHI,Poland,POL
Low MHC / Low MHI,Portugal,PRT
Low MHC / Low MHI,Republic of Korea,KOR
Low MHC / Low MHI,Rwanda,RWA
Low MHC / Low MHI,Sao Tome and Principe,STP
Low MHC / Low MHI,Seychelles,SYC
Low MHC / Low MHI,Singapore,SGP
Low MHC / Low MHI,Slovakia,SVK
Low MHC / Low MHI,Slovenia,SVN
Low MHC / Low MHI,Sweden,SWE
Low MHC / Low MHI,Switzerland,CHE
Low MHC / Low MHI,United Kingdom of Great Britain & Northern Ireland,GBR
Low MHC / Low MHI,United Republic of Tanzania,TZA
Low MHC / Low MHI,Uruguay,URY
Low MHC / Low MHI,Venezuela,VEN
Low MHC / Low MHI,Yemen,YEM
