iso3,health,nutrition,wash,education,protection,poverty,survival
KIR,0.710465746720225,2.9962529274004686,5.120744444793261,1.505856581975313,3.1977058029689607,8.06750184059143,4.979803660078378
KNA,0.13149635298416987,,0.41168613885416333,,,9.47,1.343759428422559
KOR,0.0,0.10245901639344263,0.01081887746783581,0.02487924318090988,,6.470000000000001,0.12056440393264983
KWT,0.0,1.168032786885246,0.0,5.199295191405151,,9.3,0.6691847888569745
LAO,2.8089510729518556,4.429449648711944,3.2311950869078427,6.156314049854366,5.638495276653171,5.776213645935059,3.3629787075417634
LBN,4.26618828219396,2.67096018735363,0.6533545077335945,,0.7894736842105263,6.42,1.5869811174433899
LBR,3.554336432609826,6.173887587822015,7.924724742880325,5.322545380305933,5.074055330634278,8.449705562591554,6.583923041382603
LBY,4.641655856123603,10.0,0.4750199732266639,,,4.47,2.88775172899718
LCA,1.7218579051134686,0.26639344262295084,1.2925629619770773,0.4365811289863705,3.1578947368421053,9.49,1.2967141680836576
LKA,0.02683688973436947,1.6490046838407495,1.3179578731218298,0.5951323555252774,0.6447368421052632,6.390000000000001,0.4212314674077171
LSO,2.8538349818427275,4.756674473067916,6.86359214415813,5.79351576027519,2.7327935222672064,4.455892934799195,5.22054002952365
LTU,0.8857395851952565,0.6762295081967213,0.437721482643393,0.02981483244000507,0.02631578947368421,0.0,0.1789496231086673
LUX,0.0,,0.15189087568070694,0.0,,0.0,0.0817196470502351
LVA,0.0,0.12295081967213117,0.5372074274688698,0.5880151175610935,,0.0,0.14356707829370222
MAR,0.2913719456874432,2.3770491803278695,1.8003537083508563,6.137563074055335,1.8026315789473684,8.42,1.3771210632477082
MCO,0.0,,0.0,,,,0.11656106911589469
MDA,1.1360168419363534,0.5052107728337236,1.5100479748965236,0.42912858297398737,1.605263157894737,7.71,1.1836470059206152
MDG,7.107633684398852,5.289110070257611,8.722462738601287,7.591812529376453,7.129554655870445,8.200595436096192,5.892258906262983
MDV,0.030670731124993536,1.4869437939110073,0.18946656496760508,0.42143125563307104,0.2894736842105263,4.975883212089538,0.39789526280417764
MEX,1.184220475556271,1.6823185011709603,0.534169514695268,2.2351850637216297,1.8362010796221324,4.662462902069092,1.0056639845605606
MHL,0.890244411188404,5.116334894613583,2.0956787742246954,,3.460526315789474,10.0,2.383924255745431
MKD,0.9308477099239812,1.2132903981264638,0.1699630386204972,1.3652355709303887,0.7370107962213225,7.74,0.17881176056563222
MLI,4.720189712118965,5.0155737704918035,5.9049983228765806,8.760409173890642,6.314946018893387,6.69129714012146,8.591457399458376
MLT,0.0,,0.0021008072202571273,0.7742503141620141,,3.33,0.38449663764322606
MMR,4.39481590855082,5.103454332552694,2.918233852366168,5.93379597151176,2.1936572199730096,7.561287183761596,3.370272423067708
MNE,1.477473173624021,0.9529274004683839,0.17621665579531623,0.6807513933135734,1.24055330634278,5.67,0.11247011352727875
MNG,0.09862226473812741,1.0234777517564404,2.58550729309061,1.7953626851898468,2.545883940620783,1.5310050249099731,1.1007369154703148
MOZ,4.88216499606938,5.542271662763466,7.7141686134102745,7.54042465111054,6.9605263157894735,8.530930633544923,5.655700816499348
MRT,3.2770941200378747,4.712822014051523,5.096161989474813,7.294721942447551,4.074561403508772,8.60680902481079,3.3007738383820007
MUS,0.20344718763588554,1.5163934426229508,0.26815712808457765,4.050422504837793,,8.92,1.2357422477485596
MWI,3.370350448018692,5.103512880562061,6.659752256352535,4.75322384257926,4.146929824561403,4.709696741104126,3.3100537356536064
MYS,0.12598796018154856,4.241803278688525,0.4693325295568512,4.219948306849822,,9.84,0.60924146287445
NAM,3.1312481086361683,4.462646370023419,5.339567344890933,3.2368898140957363,0.9078947368421053,6.759395303726196,3.5719138786268236
NER,5.619507991374789,6.633606557377048,8.863239265144774,10.0,10.0,9.79,10.0
NGA,7.041075149187385,5.252576112412179,5.758689847100807,4.087359771641332,5.903677462887989,7.425661182403564,9.945183159434492
NIC,1.8032007781439194,2.807377049180328,3.0912742146155674,8.207651982104705,4.631578947368421,9.9,1.0796018442338216
NLD,0.46643989360422533,0.08196721311475413,0.13757121810102746,0.161266339181567,,0.0,0.22802208398123963
NOR,0.13149635298416987,,0.11520446452324587,0.1399322208362131,0.0,0.0,0.08183259789260951
NPL,1.3330747761653983,2.9841334894613585,2.5959526777756152,1.7183227636232243,4.949898785425101,5.416465878486633,2.335172075790974
NRU,0.36038109071867985,2.7868852459016393,2.25713600666918,,3.526315789473684,3.4000000000000004,0.6846037588183405
NZL,1.0172359381794265,,0.0,0.850069219179006,,2.01,0.3032326412628793
OMN,0.023003048343745405,2.3565573770491803,0.5355150893933983,4.0672786440311794,0.5263157894736842,9.87,0.8258627655127142
PAK,1.8904332940468935,6.410655737704918,2.2370282534787225,6.123240112424897,2.4078947368421053,7.829047908782959,5.319079032568162
PAN,2.333986543079806,2.5819672131147544,1.2718599290267412,3.6539686330951993,1.9035087719298247,2.33,1.0982364377136014
PER,1.36875641808482,1.0833138173302108,1.6973966715025282,2.4230905285437037,2.6584008097165994,5.256611137390137,1.3053491830321045
PHL,1.4161793925764352,4.113583138173302,1.55332838985173,3.957317682574966,1.236842105263158,9.01,2.299317937466176
PLW,0.06574817649208493,,0.09313987693799869,,,,1.888862731298095
PNG,9.785496765429343,6.835714285714285,8.482811083185476,,3.5921052631578947,8.215869188308716,3.613933685156577
POL,0.26299270596833974,0.22540983606557374,0.8503866028722875,0.2758117434402996,,0.0,0.263349405596821
PRK,9.54619690547411,3.19672131147541,1.4002727255602259,0.0,0.42965587044534415,,1.4937886085550693
PRT,0.0,0.389344262295082,0.08058055577361603,0.538254517169483,,0.8499999999999996,0.15714968071086416
PRY,2.4870505750328897,0.7539812646370023,0.9680471324168988,3.693327178819772,3.587719298245614,4.497378237247467,1.4182063273793435
PSE,1.0595794733128727,1.3740632318501171,0.294476031274948,0.794982661988475,1.6892712550607287,,2.4086665677846697
QAT,0.19724452947625482,0.6557377049180328,0.00465023164374152,1.1355920683112097,0.5526315789473685,9.87,0.43942462374820945
