iso3,P1_geometric_avg,P2_arithmetic_avg,P1_P2_geometric_avg,rank_reverse
LSO,3.3557181480441556,5.257679373798425,6.566490053213218,70.0
LTU,0.0,0.3387058807935138,0.0,188.5
LUX,2.49667254803956,0.0350345964116716,0.4989141172116339,183.0
LVA,2.123855787378249,0.2399159368426029,1.4958945336888043,164.0
MAR,6.830453555668318,4.818900584547508,8.256525548823854,32.0
MCO,0.0,0.0,0.0,188.5
MDA,2.488546254179225,3.39487729258254,4.974353243913096,108.0
MDG,7.418146284706377,8.607068014477031,10.0,7.0
MDV,10.0,2.0379729055807285,6.926640329096694,57.0
MEX,3.569371244188008,2.767385416660517,5.280463241154678,99.0
MHL,10.0,6.066797451242405,10.0,8.0
MKD,0.03834090462524662,3.278013630740918,0.6590927424428802,180.0
MLI,10.0,7.265462998605655,10.0,4.0
MLT,2.3060235218791276,1.715241676931107,3.695306855154885,136.0
MMR,10.0,5.876223102599565,10.0,9.0
MNE,0.2540285217109439,2.614312216875056,1.7030967247014763,158.0
MNG,3.4898639128002804,1.830565311926841,4.465306039919724,120.0
MOZ,4.689514412888325,8.188534299543658,8.73124854350993,25.0
MRT,5.009520790710333,6.865153654353762,8.389149689213081,29.0
MUS,10.0,4.589757905248866,9.31189549170238,18.0
MWI,1.5839580433151936,5.511560519245393,5.037280958779612,107.0
MYS,0.9983301539684073,5.523657020752846,4.215797512441356,125.0
NAM,5.965943178266702,5.041000827785388,7.989618495487807,37.0
NER,7.02254170200562,10.0,10.0,5.0
NGA,6.851419951889924,7.06709678798135,9.4928900122611,15.0
NIC,1.3771257380713486,6.646376666233406,5.129216032520805,103.0
NLD,2.083489543489895,0.1628519747714281,1.2114104640982521,168.0
NOR,1.278256400499768,0.0743161408757131,0.5337033615961339,181.0
NPL,0.41933554302367243,4.022369172995403,2.5963565280653866,148.0
NRU,10.0,3.0236584794689687,8.00530503809673,36.0
NZL,0.7402254314884582,1.357944374315072,2.0663036395035053,153.0
OMN,1.85329939052944,4.4893421492565055,4.945255612045352,110.0
PAK,4.801499674641481,5.721488321776675,7.72991763093137,42.0
PAN,0.8220377058344334,2.702846227064514,2.9181195608021557,145.0
PER,3.713610496858911,3.252943427293263,5.698819582799154,88.0
PHL,4.041050700087763,4.991609677466812,6.900391846986291,60.0
PLW,2.1888831033956304,0.0916213498936685,0.8963261446004016,175.0
PNG,1.007286729876775,8.674191022723509,5.038896872903347,106.0
POL,2.137734297710062,0.3103483023345913,1.7022749279512523,159.0
PRK,4.191250408971621,3.3613197920739077,6.037892247696036,80.0
PRT,3.109587073695706,0.5205489884063663,2.550770831464609,149.0
PRY,3.9482190958093284,3.374977348138009,5.913101776694864,86.0
PSE,4.275958851316876,1.2022669001265864,4.101062632040155,130.0
QAT,0.9555999417295927,3.671696026688541,3.521294248710648,138.0
ROU,1.8614234656074036,1.134521439404602,2.8565756556229,146.0
RUS,2.8104152347183944,0.3656774438901362,2.087168886990845,151.0
RWA,2.0001428222609574,4.968619612795814,5.292670321271638,97.0
SAU,3.551602951492176,3.836156347896672,5.962616928456012,83.0
SDN,10.0,7.805984912960665,10.0,2.0
SEN,6.686639189701498,5.949089286961168,8.843404766149545,24.0
SGP,0.03665671993785395,2.4485854095660584,0.5096921997918202,182.0
SLB,9.305051128785072,5.043523844569132,9.386786602944236,17.0
SLE,4.6984828257660345,6.779223430198282,8.1585053195576,34.0
SLV,3.359603041979618,3.383246103083524,5.56924764145304,92.0
SMR,10.0,0.4728405826914787,3.9677448510748676,134.0
SOM,5.944630824775131,8.288298880119148,9.552556329723316,14.0
SRB,0.0,2.687345611875672,0.0,188.5
SSD,8.380119902165422,9.294339597946324,10.0,3.0
STP,2.159330654255988,4.888715374550318,5.4154618801539485,94.0
SUR,2.8940152537596737,2.878158820147845,4.947385443470531,109.0
SVK,1.0129710115546207,0.5781011445626683,1.6024152918313679,161.0
SVN,2.3399191723098274,0.3737171996376033,1.9385868394071633,154.0
SWE,0.9368445546238927,0.1709729940740686,0.7775938659787853,176.0
SWZ,3.233368603893048,4.390073213014446,6.054964400962257,79.0
SYC,0.0,4.818083755800359,0.0,188.5
SYR,5.714047212899925,3.152771780631931,6.61751527330285,68.0
TCD,9.997999179831124,9.590587217683762,10.0,1.0
TGO,2.6755461312457474,6.309984371708629,6.4598229717843045,71.0
THA,4.497081124502343,2.317233335480533,5.388962415400316,95.0
TJK,2.4480018364901173,3.2791441888326704,4.8776796446632025,112.0
TKM,4.299476336245814,1.684686600797206,4.688192279232826,114.0
TLS,0.047463667028623265,4.889191492754612,0.9783107587756807,173.0
TON,9.533053390852123,4.601512042017934,9.161250988626794,21.0
TTO,1.5587028291655538,3.383468257886086,4.142520490514146,129.0
TUN,6.879081816941822,2.245065513686948,6.248964865687829,75.0
TUR,3.0824187842262907,2.627491632851844,4.894375600324264,111.0
TUV,10.0,4.121659676108361,8.957554090387845,23.0
TZA,0.8381854988401901,5.919308482323754,4.043994387178196,132.0
UGA,3.2259965530531667,5.482922543870785,6.572648428143682,69.0
UKR,2.6593451995882766,1.005387817575906,3.1514887739043806,144.0
URY,1.8575174478890442,2.161915848702785,3.717814718520337,135.0
USA,5.275089535201787,0.9655018149842,4.086006137364711,131.0
UZB,2.1733174893239284,2.911496007358116,4.448708294356602,121.0
VAT,2.631505723695084,,,
VCT,3.9127692763701942,6.002026274297491,7.2981274945149694,48.0
VEN,6.023177273539551,3.0039012810992256,6.628122941430264,67.0
VNM,5.858010999351352,4.825295219425941,7.810915857965139,41.0
VUT,5.298725529944627,6.312260462135692,8.304750237071822,31.0
WSM,0.0,4.315641490526732,0.0,188.5
YEM,3.3703541796592917,7.032629542517867,7.322938196266488,46.0
ZAF,3.127205698522722,2.940470666249111,5.138312055308309,102.0
ZMB,4.586720685029415,6.470803417729938,7.9512378116236535,38.0
ZWE,3.6472997126225195,6.099527900754636,7.154206829993192,50.0
