P1_rfl,P1_cfl,P1_ts,P1_dr,P1_hw,P1_ext,P1_fr,P1_sds,P1_pm25,P1_mal,P2_hea,P2_nut,P2_wash,P2_edu,P2_pro,P2_pov,P2_sur,iso3,SIDS
-0.004779829,0.011433929,0.02416177,0.008546601,-0.00555735,-0.16380872,0.10600035,0.0101461625,0.012383212,-1.0651784,0.011164819,-0.16083395,-0.09650545,-0.064522214,-0.16112465,-0.3129576,-0.09983406,AUS,False
0.012106439,-0.014641755,-0.014733763,0.024234833,0.09584392,0.8331456,0.045453824,0.012656787,0.0010605543,-0.728253,0.13064533,-0.16652553,0.007923509,0.057421193,-0.19094779,0.081051074,0.057931703,AZE,False
-0.051765285,0.018696828,-0.023675913,0.01639193,-0.09290524,0.7977954,-0.080582306,0.006069722,-0.011469645,-0.8318233,-0.0841037,-0.2092762,-0.099818684,-0.18434985,-0.13629249,0.0959704,0.048384648,BHR,False
-0.013200396,0.019448472,-0.03464654,7.149094e-06,0.034181897,-0.53494096,0.069831714,-0.0067877113,0.028615836,-0.9370601,-0.117125764,-0.1321523,-0.11718611,-0.05262315,-0.15060323,-0.3235306,-0.10858381,BEL,False
-0.017694563,-0.0019028424,-0.017311746,0.018251963,0.034316834,-0.45762137,0.04974714,-0.01483911,0.039598692,-0.7831102,-0.022347547,-0.11858716,0.03248483,-0.028006315,-0.118752874,0.15864855,-0.06675887,BGR,False
-0.09754747,-0.024885507,-0.018815098,0.00831754,0.021386608,0.55317837,0.022163862,0.014128887,0.016386194,0.79454476,0.003819859,-0.054535102,0.08809997,0.10288303,0.24666888,0.09425001,0.09715273,BFA,False
-0.0068346253,-0.014029839,-0.036845565,0.023479275,0.031771492,-0.45069873,0.06641482,-0.0050924746,0.082502075,-0.71690536,-0.14681405,-0.118532024,-0.09308716,-0.060087852,-0.17192994,0.1003826,-0.06657928,BLR,False
-0.05083001,-0.014227097,-0.011796673,-0.011776396,-0.044698887,0.42556065,-0.0060973098,0.008919172,0.021624105,0.8764082,0.0030249283,-0.45971808,0.04991195,-0.057708304,-0.16868144,-0.035031497,0.030499078,BOL,False
0.009795985,0.016514821,0.122594126,-0.0031983163,-0.007948879,-0.090986595,0.06467845,-0.005881099,-0.017012421,-0.62263954,0.020310659,-0.14350428,0.05085,0.029756386,-0.17669143,0.028421408,0.16591552,BLZ,True
0.16107951,0.017253269,0.09745696,0.05585712,-0.014883272,0.6027304,0.04119177,0.013364214,0.018873537,0.97131336,-0.06681646,-0.093194686,0.036959972,0.024915319,0.2712493,-0.06958719,0.04236527,BGD,False
-0.0394652,0.031616423,0.13184275,0.0087529635,-0.013502366,-0.43908426,-0.008297929,-0.0048502325,-0.0060295896,-0.66997254,0.041240156,-0.059587304,0.016175281,0.031229453,-0.13363451,0.24408697,0.16528879,BHS,True
0.164052,0.014573751,0.03882521,0.036252454,0.089876376,0.52874154,0.048674602,0.015457192,-0.0033088475,1.0398037,-0.1361408,-0.37814906,-0.025071975,-0.06990033,0.67634994,0.13187364,-0.029911568,CHN,False
