iso3,threshold,score,rank
BHR,0.30000000000000004,2.297924527623436,109.0
BHS,0.30000000000000004,2.4385270338786755,104.0
BIH,0.30000000000000004,2.002205391991449,120.0
BLR,0.30000000000000004,0.5630565642233171,183.0
BLZ,0.30000000000000004,2.8236229857225057,94.0
BOL,0.30000000000000004,3.7015558364242445,68.0
BRA,0.30000000000000004,3.503131181215151,74.0
BRB,0.30000000000000004,1.4191669977502688,152.0
BRN,0.30000000000000004,0.8844211928497615,168.0
BTN,0.30000000000000004,2.3441625562917565,107.0
BWA,0.30000000000000004,3.6538092933621864,69.0
CAF,0.30000000000000004,5.949218416832423,16.0
CAN,0.30000000000000004,0.8878938628342326,167.0
CHE,0.30000000000000004,0.33801001117800256,191.0
CHL,0.30000000000000004,1.8023286934757479,136.0
CHN,0.30000000000000004,5.267962988335518,32.0
CIV,0.30000000000000004,5.132647144193606,34.0
CMR,0.30000000000000004,5.397995005420832,29.0
COD,0.30000000000000004,6.239224258267312,11.0
COG,0.30000000000000004,4.125792133898989,57.0
COL,0.30000000000000004,4.286401014560442,53.0
COM,0.30000000000000004,2.4977441814940224,103.0
CPV,0.30000000000000004,2.039533642014305,118.0
CRI,0.30000000000000004,1.9147983693605566,128.0
CUB,0.30000000000000004,3.193513453247702,85.0
CYP,0.30000000000000004,0.6986816611096086,180.0
CZE,0.30000000000000004,1.9389653658212642,125.0
DEU,0.30000000000000004,1.0826819111581634,157.0
DJI,0.30000000000000004,3.9284051010353904,62.0
DMA,0.30000000000000004,1.8698242086109975,133.0
DNK,0.30000000000000004,0.4744537254105417,186.0
DOM,0.30000000000000004,2.7759215796164947,95.0
DZA,0.30000000000000004,2.993692260424632,90.0
ECU,0.30000000000000004,3.4417274281749783,77.0
EGY,0.30000000000000004,4.4080393012288335,50.0
ERI,0.30000000000000004,5.403035693404469,28.0
ESP,0.30000000000000004,2.423684767223656,105.0
EST,0.30000000000000004,0.9361981430862286,164.0
ETH,0.30000000000000004,6.350764616914766,9.0
FIN,0.30000000000000004,0.5682451119827905,182.0
FJI,0.30000000000000004,2.2913313992297586,110.0
