iso3,adm0_name,river_flood_gmean,coastal_flood_gmean,storm_gmean,drought_gmean,heatwave_gmean,extreme_heat_gmean,fire_gmean,sand_dust_gmean,air_pollution_gmean,malaria_gmean
FIN,Finland,3.35528133512046,2.102477470465196,1.0,3.934763835291058,6.62993300748443,1.0,1.4558667285292464,1.564323048371823,7.939825855253595,1.0
ETH,Ethiopia,2.653468698247024,1.0,1.0,6.081243964632504,4.859636023838375,3.8609131431070276,4.532108135141033,4.47667794562172,9.805681824217196,9.931049720046687
EST,Estonia,2.05975501113432,1.297790588435819,1.0,4.419105295634571,5.501140177459813,1.0,2.1295620631064223,1.5474081171684202,7.6974025871499485,1.0
FRA,France,3.890035595657303,2.6062867967613768,3.870244218334901,8.259349579459915,9.455138551393645,1.0,3.1793032327125395,2.1133555822131216,9.274757675588472,1.0
FSM,Micronesia (Federated States of),1.0,1.37955011672869,7.645685463552835,1.0,1.9067341866599083,1.0,1.0,1.0,1.0,1.0
FJI,Fiji,1.0,6.128087629007369,8.450358478727454,1.531767919170437,2.0068999194267647,1.0,1.580325735165438,1.0,6.334272003163759,1.0
GBR,United Kingdom of Great Britain & Northern Ireland,3.0666366993832463,4.0904275681226245,7.766653980436172,7.857526073378719,3.9355470404215307,1.0,3.1418170600651982,1.7950233685659858,9.212112239104295,1.0
GAB,Gabon,3.472196236952919,2.0267958265051,1.0,6.3560983497878185,3.816059920088578,1.0,2.2773081506135515,1.7988679336109954,8.072797423794716,2.9455661988415756
GIN,Guinea,2.649835424157258,2.3247269361552885,1.0,4.739161672978087,4.0904481881550705,7.604079255671403,9.60117525942253,2.4107599197699896,9.082385766608533,3.0719324403897783
GMB,Gambia,2.826058774348094,1.9197491928939254,1.0,2.8535137230988386,3.067891595426076,7.05458907550543,5.79149375040013,2.1919451178358162,8.273076438111998,2.962109864573434
GEO,Georgia,3.1284633363833967,2.1296109770698077,1.0,5.314159813184493,6.91177408172299,2.429516619719969,2.326925121884754,1.8930583535467682,8.33564852002299,1.0
GHA,Ghana,3.169014777039374,2.251712418275835,1.0,7.6546555492326585,4.775671085752223,7.180505510929482,4.96805256714614,2.3814290666064863,9.017771986181332,3.115488111748011
GRD,Grenada,1.0,1.0,7.558907718806898,1.0,1.856469094258048,1.0,1.0,1.0,5.323837249149289,1.0
GNQ,Equatorial Guinea,3.736396257443241,1.733667580407161,1.0,7.591566310910972,3.884025102783667,1.0,1.263320419925876,1.981737638787989,8.11295847289285,2.9190498558031512
GNB,Guinea-Bissau,2.3279909948163082,1.8665442910584364,1.0,2.2163990314208406,3.4251334805970455,7.96755276527714,6.845666922252243,1.9015157382493721,7.393904933831998,2.9425924043501066
HND,Honduras,3.432213048695366,2.071142233571048,9.316420948999905,3.4122218808071225,4.642571504646221,3.6394233681345174,4.295750092668187,1.0,8.838855276203983,3.3391751639744056
GUY,Guyana,7.8617381215101885,5.549529137757644,3.278230085217066,3.898389896836983,4.151141556398978,2.4006216304165573,2.022974246429425,1.0,6.977018303359867,8.246050760118665
GRC,Greece,2.2385956457371785,2.125147260923117,1.0,3.549731088834298,6.221518422222457,3.337907784769822,5.5355689754313975,1.9781286959493585,8.117375221378712,1.0
GTM,Guatemala,2.4887106610202965,2.042121048915809,5.596916111195704,5.395761105549371,4.707482540418074,2.869172745166815,4.990606171989634,1.0,9.082629682648887,3.036674102318104
HUN,Hungary,4.119749889876196,1.0,1.0,7.9143293256656175,8.145638411322768,1.0,2.4524768522543043,1.1416685645350129,8.559943252873506,1.0
HTI,Haiti,2.2262996858103197,2.128891298086706,9.349013629162942,3.2802746398385247,2.1058755455208624,2.5427969523525986,2.337190604014316,2.2798665897213812,8.844046531075202,2.7357062160546857
HRV,Croatia,3.4645288265790066,1.9535884407128261,1.0,6.1422756161697345,7.495587045376569,1.0,2.9349295920778373,1.1676300535432191,8.145556297459182,1.0
IND,India,6.51432927939079,2.8119683292460493,6.674977752121657,8.714086738554244,2.4631078930156827,10.0,3.8260736850367905,3.379383148573191,9.955396898964992,7.01393023219754
IRN,Iran (Islamic Republic of),4.753655393782875,2.7087690529823867,2.7517210375851766,5.992554862522639,7.779532999534756,7.982102820351949,3.6335113368469334,7.287819365095415,9.453126541589802,2.127311949778803
IRL,Ireland,2.4740059079284107,2.482205211780273,8.922509934695487,6.681723725589451,1.1882794237546712,1.0,2.2044519903167084,1.0,8.002592988146095,1.0
IRQ,Iraq,9.565100130796438,2.4060066067307346,1.0,3.545444640021837,6.228673995874785,9.830371421948916,5.618230197559363,6.595759570147726,9.453824563928316,1.0
ISR,Israel,1.8982210689385774,1.4650025043474557,1.0,2.087846002076465,5.377844822571034,4.602404362708136,3.326133245212841,3.461034827379234,8.705660677022458,1.0
IDN,Indonesia,4.523034055670265,2.8393107690388746,3.113209734806973,8.768538307593381,5.217981745689437,3.3994000088442835,4.095316313994572,2.5025311440494358,9.512235027911933,5.586538133045325
ISL,Iceland,2.1322899225304015,4.610967873440401,1.0,2.549606852108615,2.47610671849017,1.0,1.0,1.0,5.727674714934482,1.0
ITA,Italy,3.6153646957385046,2.4865193100318566,1.0,5.553299800477167,6.6200592017892905,2.6274976151572664,3.740188321009341,2.1331043420888394,8.808743264347587,1.0
JAM,Jamaica,1.9471508297296745,2.0671837723597246,8.733728991575507,1.8401010983831063,2.0402112321899812,1.0,3.167252511201602,1.0,8.1005511462702,1.0
JOR,Jordan,2.064375920009967,1.0,1.0,5.03538915892202,3.681057109084432,8.156306761591575,2.7656444502685407,5.937445898203733,8.91477329861347,1.0
JPN,Japan,5.903393140059242,9.72642362376524,9.773431942166399,8.097287181279704,4.801944553398548,1.0,3.036672371693222,2.1729901606915547,8.809938228447834,1.0
KAZ,Kazakhstan,4.348493657823376,1.0,1.0,8.420052488688047,6.320834923798169,5.636095160920447,3.9584172683178065,4.441939455898065,9.058007957621856,1.0
KEN,Kenya,2.744935426790753,1.9869224551263778,1.0,5.069640182542869,4.857565300219703,3.871929089787809,4.039956076063185,4.2205451557825615,9.356534929566694,4.623578221471769
KGZ,Kyrgyzstan,2.601692251448469,1.0,1.0,9.201067062541256,3.1661744262762372,3.3170808585538296,3.0474601931966845,3.103908100401881,8.700703904620397,1.0
KHM,Cambodia,7.458458207837706,2.09073760502738,9.45060108429162,6.592020552764898,4.7576121729213225,9.143019931278284,4.656865615662033,2.6064491816743205,8.854740417345473,7.452875350584282
KWT,Kuwait,3.6177634378081986,3.053300738003135,1.0,3.7088218511980604,4.007221162959016,7.98324448180046,3.22378183079103,5.493007962542861,5.9459081070406485,1.0
KIR,Kiribati,1.0,6.914348469977629,1.0,1.0,1.9084430242110824,1.0,1.0,2.6908101153961406,1.177820115893545,1.0
KNA,Saint Kitts and Nevis,1.0,1.0,7.178764227612437,1.6421647995937971,1.8462803789003177,1.0,1.0,1.0,4.416865666680619,1.0
LBN,Lebanon,1.873102000528813,1.9306620757518618,1.0,2.477049689551382,3.006780616436524,1.663815795602839,3.052933456325936,2.7129661652768844,8.603871249084076,1.0
LAO,Lao People's Democratic Republic,5.443941542531468,1.0,7.338748105124311,7.181403406614637,4.564910196786378,6.596940031021643,9.69547687424036,2.1554780533645204,8.750170798316104,6.740266376866921
LBR,Liberia,6.109796808845236,2.003467637979294,1.0,7.9045627246877155,2.9147871525260953,1.8971111160525005,5.569188487923763,1.7986980197750893,8.72081982388627,3.0051403028246346
LBY,Libya,2.8688924705735612,2.32742934517573,1.0,4.140666515417061,2.979128071616996,7.401063417098415,3.4911249111096256,7.151934734617243,8.503339905419454,1.0
KOR,Republic of Korea,4.082645154688738,2.6387587873236438,9.492764085380355,3.276934691828478,3.8744718834649525,1.0,2.863623463050653,2.2545772235188,8.76369963730741,1.0
LIE,Liechtenstein,3.719966007649953,1.0,1.0,5.415914201623494,6.312877988334962,1.0,1.0,1.0,6.129823740964317,1.0
LCA,Saint Lucia,1.0,1.0,7.707262348887928,1.5735847121860953,1.9174773690831242,1.0,1.0,1.0,6.039335248623006,1.0
LKA,Sri Lanka,3.7274100513078405,2.0613736069679494,9.458415378558271,7.000165000085722,4.148787192390569,4.7686675803922896,2.4650786910643134,1.9725182197874593,8.619559337428122,1.0
LSO,Lesotho,1.935179485150509,1.0,1.0,3.8804841855660546,4.498797334013091,1.0,2.082031454394334,2.4031606912158567,8.34996458545033,1.0
LUX,Luxembourg,2.036846827488418,1.0,1.0,4.655906226330109,8.639609848803483,1.0,2.2857292402517437,1.0,7.518145559229847,1.0
LVA,Latvia,4.700124460405741,1.728487186521726,1.0,4.304416721677666,6.28420124458755,1.0,1.9668649367830702,1.1253857718877938,7.920793195292441,1.0
LTU,Lithuania,2.2674283138614832,1.7145335809609468,1.0,4.467671381807859,7.837249533590879,1.0,1.839693286689125,1.0,8.092589555800751,1.0
MCO,Monaco,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
MAR,Morocco,3.259821392566698,2.236443518321095,9.654654589948217,4.7253254730649035,7.978910800018078,7.2019504037306525,3.4704148197382425,5.75374377615761,9.240924334711732,1.0
MDV,Maldives,1.0,1.0,1.0,1.0,1.9378526833482181,1.0,1.0,5.067276982298266,1.0,1.0
MDA,Moldova,2.627271470142376,1.0,1.0,8.433689296804477,9.571673906305525,1.0,2.678340307411533,1.1823434180463743,8.236653206093218,1.0
