ISO3,name,ucode,pop_exposed
CCK,Cocos (Keeling) Islands,CCK_V1,1.0109206513775622
NFK,Norfolk Island,NFK_V1,0.0
FRO,Faroe Islands,FRO_V1,0.0
ESP,Canary Islands,ESP1_V1,212011.2660052772
ALA,Åland Islands,ALA_V1,0.0
ATF,Bassas da India,ATF1_V1,0.0
GUF,French Guiana,GUF_V1,12446.21196712125
ATF,French Southern Territories,ATF_V1,0.0
ATF,Europa Island,ATF2_V1,0.0
GLP,Guadeloupe,GLP_V1,4862.596697222533
ATF,Juan de Nova Island,ATF3_V1,0.0
MTQ,Martinique,MTQ_V1,5199.330548659001
BLM,Saint Barthélemy,BLM_V1,2620.9665965966
MYT,Mayotte,MYT_V1,36016.244057384545
REU,Réunion,REU_V1,3780.3934002278284
SPM,Saint Pierre et Miquelon,SPM_V1,0.11466116151388954
xFR,Tromelin Island,xFR1_V1,0.0
WLF,Wallis and Futuna,WLF_V1,0.0
MAF,Saint Martin,MAF_V1,6900.1134327968575
xFR,Glorioso Islands,xFR2_V1,0.0
IOT,Chagos Archipelagio,IOT_V1,0.0
GGY,Guernsey,GGY_V1,1748.2711559705197
IMN,Isle of Man,IMN_V1,192.27496106870217
JEY,Jersey,JEY_V1,4107.1025833671565
xUK,Akrotiri,xUK1_V1,0.0
xUK,Dekelia,xUK2_V1,19.035039284948354
ABW,Aruba,ABW_V1,3741.0646067293083
CUW,Curaçao,CUW_V1,20014.002231885177
BES,Saba,BES1_V1,334.1557081942757
BES,Sint Eustatius,BES2_V1,679.7235429682787
BES,Bonaire,BES3_V1,964.6672884039945
SXM,Sint Maarten,SXM_V1,8079.423970399112
SJM,Svalbard and Jan Mayen Islands,SJM_V1,0.0
COK,Cook Islands,COK_V1,2619.217116859654
NIU,Niue,NIU_V1,328.0997405834496
PRT,Azores Islands,PRT1_V1,502.1734114948989
PRT,Madeira Islands,PRT2_V1,24641.07823759126
UMI,Baker Island,UMI1_V1,0.0
UMI,Wake Island,UMI2_V1,0.0
UMI,Howland Island,UMI3_V1,0.0
UMI,Jarvis Island,UMI4_V1,0.0
UMI,Johnston Atoll,UMI5_V1,0.0
UMI,Kingman Reef,UMI6_V1,0.0
UMI,Midway Islands,UMI7_V1,0.0
UMI,Palmyra Atoll,UMI8_V1,0.0
UMI,Navassa Island,UMI9_V1,0.0
MNP,Northern Mariana Is. (USA),MNP_V1,3312.0614397765653
PRI,Puerto Rico (USA),PRI_V1,160061.12848178507
VEN,Bird Island,VEN1_V1,0.0
HMD,Heard Island and McDonald Islands,HMD_V1,0.0
FLK,Falkland Islands (Malvinas),FLK_V1,0.0
SGS,South Georgia and the South Sandwich Islands,SGS_V1,0.0
BVT,Bouvet Island,BVT_V1,0.0
