ISO3,name,ucode,pop_exposed_total,pop_River_Flood,pop_Coastal_Flood,pop_Tropical_Storm,pop_Drought,pop_Heatwave,pop_Extreme_Heat,pop_Fire,pop_Sand_and_Dust_Storm
YEM,Yemen,YEM_V1,1.867501249010117E7,399251.6891902503,31657.00635220918,1204519.968622453,2177661.5079469145,1.8249641190326795E7,5602096.44795004,154306.7954447002,9361975.836813992
ZAF,South Africa,ZAF_V1,1.811191429616052E7,154828.78193127265,6328.467747300805,2509370.833417371,5574082.401043856,1.5076002563108984E7,1711547.4437513843,4177146.8290949166,464572.33624422055
ZMB,Zambia,ZMB_V1,9223754.009213587,204203.40582661005,0.0,0.0,1940355.8504050497,8265018.158664501,1465504.604388877,5677667.870779709,5204.072714579783
ZWE,Zimbabwe,ZWE_V1,7917904.277915192,54278.92020770701,0.0,98674.63087981482,5374926.7618491845,7405875.6227513775,1663000.8075830112,1914329.0834261943,65756.65071484895
AIA,Anguilla,AIA_V1,3107.597932745628,0.0,46.99044979489685,3107.597932745628,3107.597932745628,3107.597932745628,0.0,0.0,0.29965670430557984
ESH,Western Sahara,ESH_V1,148935.59657471516,9922.400270246408,3910.9259550717534,138079.12356275617,11002.485331544485,78332.29582776198,57363.522038973264,0.0,139208.52688915835
PYF,French Polynesia,PYF_V1,65468.3623434662,0.0,0.0,65468.3623434662,14286.454466142144,11462.699574369231,0.0,45.941657058894634,754.9314693191473
PYF,Clipperton Island,PYF1_V1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NCL,New Caledonia,NCL_V1,73119.77774544492,0.0,2042.1470905185129,73119.77774544492,17387.90769621026,44588.783009550214,0.0,7804.5376177435355,41.91500798828315
BMU,Bermuda,BMU_V1,10747.096570240634,0.0,0.0,10747.096570240634,10747.096570240634,10747.096570240634,0.0,0.0,268.5364151291987
GIB,Gibraltar,GIB_V1,6320.593065336757,141.81336611485946,0.0,6320.593065336757,0.0,0.0,0.0,230.2117474998329,520.5094418327016
VGB,British Virgin Islands,VGB_V1,7298.016267310233,0.0,0.0,7298.016267310233,7298.016267310233,7298.016267310233,0.0,0.0,0.4286092730129466
CYM,Cayman Islands,CYM_V1,14225.9588940279,0.0,877.6215164031984,14225.9588940279,5558.970208387965,14225.9588940279,0.0,0.0,0.0
MSR,Montserrat,MSR_V1,883.9646783377359,0.0,0.0,883.9646783377359,883.9646783377359,672.1994577254923,0.0,5.468173000961542,0.7663469985127449
PCN,Pitcairn,PCN_V1,5.132757997140288,0.0,0.0,5.132757997140288,5.132757997140288,0.0,0.0,0.0,0.0
SHN,Saint Helena (Ascencion),SHN1_V1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SHN,Saint Helena (Gough),SHN3_V1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SHN,Saint Helena (Tristan da Cunha),SHN2_V1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SHN,Saint Helena,SHN_V1,854.5941989731933,0.0,0.0,0.0,854.5941989731933,0.0,0.0,0.0,239.28462682237904
TKL,Tokelau,TKL_V1,787.1627872632685,0.0,0.0,787.1627872632685,787.1627872632685,787.1627872632685,0.0,0.0,0.0
TCA,Turks and Caicos Islands,TCA_V1,9000.648673375292,0.0,135.39943554997444,9000.648673375292,8952.511164984578,9000.648673375292,0.0,0.0,305.0396711775704
ASM,American Samoa (USA),ASM_V1,15601.651859219894,0.0,0.0,15601.651859219894,15601.651859219894,0.0,0.0,0.0,0.0
GUM,Guam (USA),GUM_V1,50804.00267047003,0.0,355.1958133946152,50804.00267047003,6847.835555228151,31828.21212369009,0.0,0.0,0.0
VIR,United States Virgin Islands (USA),VIR_V1,17109.020676481756,0.0,20.2311854941807,17109.020676481756,17109.020676481756,17109.020676481756,0.0,0.0,1.0739631699288592
EGY,Bi'r Tawīl,EGY1_V1,250.06046407669783,0.0,0.0,0.0,0.0,250.06046407669783,250.06046407669783,0.0,250.06046407669783
xAP,Arunachal Pradesh,xAP_V1,263541.7929447072,23059.901970541265,0.0,0.0,1494.716909589341,255889.18756724446,0.0,37288.52383795683,1117.4730859641497
xSK,Senkaku Islands,xSK_V1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xRI,Kuril Islands,xRI_V1,3440.337475859274,0.0,196.3770081505278,3440.337475859274,72.88617433651453,1752.1849160278532,0.0,113.7490540004801,0.0
SDN,Hala'ib Triangle,SDN1_V1,4859.638270234733,0.4641200006008148,88.95392294257296,0.0,0.0,4839.128135299354,4839.128135299354,0.0,4466.356119052445
SSD,Ilemi Triangle,SSD1_V1,2454.324871316015,8.465173959732056,0.0,0.0,132.7584504021478,2454.324871316015,2454.324871316015,223.47721598576754,2302.2994952084714
xAB,Abyei,xAB_V1,81844.50318652064,55788.53569486585,0.0,0.0,69537.67718169584,81844.50318652064,81844.50318652064,60042.336975495135,0.0
xAC,Aksai Chin,xAC_V1,3178.6613101659163,159.39834436401725,0.0,0.0,0.0,2457.9929034409865,0.0,0.0,1369.8120919274495
xJK,Jammu and Kashmir,xJK_V1,4185622.9269605563,352757.0310668565,0.0,0.0,3800068.622485756,2693723.3216426205,1522132.653615069,133110.93689743837,94230.24221389956
xJL,Sovereignty unsettled,xJL_V1,42824.561327496536,0.0,0.0,0.0,7760.714737163036,42824.561327496536,0.0,181.94557748365347,57.82771435192986
xPI,Paracel Islands,xPI_V1,86.75689410067656,0.0,0.0,86.75689410067656,86.75689410067656,0.0,0.0,0.0,0.0
xSI,Spratly Islands,xSI_V1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xSR,Scarborough Reef,xSR_V1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xxx,China/India,xxx_V1,732.3405230578984,26.176114820674353,0.0,0.0,0.0,667.718105309924,0.0,0.6051669716835022,635.7328897815709
MAC,Macao,MAC_V1,108701.81989625297,20341.27050479206,4599.0473192874115,108701.81989625297,0.0,54797.21791743903,0.0,0.0,0.0
HKG,Hong Kong,HKG_V1,809475.5088383062,13232.896145832383,53871.09320530419,809475.5088383062,0.0858748741781193,663178.1034629403,0.0,2281.114433363537,11935.091068315582
TWN,Taiwan,TWN_V1,3311322.926682583,675444.4067720261,67694.57296479015,3311322.926682583,153480.95391672064,2622795.0143246073,0.0,90456.44107174953,3276.154162042911
ALB,Albania,ALB_V1,557883.820947816,57984.980056418855,26446.776494960628,0.0,371451.1978937534,512147.16723081755,0.0,33197.204940084535,685.8213337854384
AND,Andorra,AND_V1,12304.924942536496,0.0,0.0,0.0,6382.0504784941895,12304.924942536496,0.0,0.08548200037330389,0.0
ARE,United Arab Emirates,ARE_V1,1954329.0631706908,206594.7093684356,118422.54716977695,0.0,39157.04899253795,1844450.331715701,1846333.9908466542,66117.29226932526,1612975.6279904249
ARM,Armenia,ARM_V1,655025.5301867909,17210.390668334247,0.0,0.0,381493.5214191196,618684.7563612186,4535.134676382502,7920.357723716341,6587.89268780181
ATG,Antigua and Barbuda,ATG_V1,20563.202283535422,0.0,235.77746328090635,20563.202283535422,16713.086129332798,20563.202283535422,0.0,0.0,0.043522000312805176
AUT,Austria,AUT_V1,1426858.1000882715,162064.6995212982,0.0,0.0,689865.5818927677,1242129.2783120738,0.0,16006.185532492402,33.64004312531324
AZE,Azerbaijan,AZE_V1,2682595.7987533933,186934.8558631127,0.0,0.0,1677863.3996183835,2050212.4251657957,730126.1854299845,112622.81431075762,146769.65788817764
BDI,Burundi,BDI_V1,7250375.91884299,43654.882798972714,0.0,0.0,1883431.5319335063,7250375.91884299,0.0,506457.322484783,2642.5707870721817
BEL,Belgium,BEL_V1,2292992.4114830084,99774.51893163132,72635.03827953109,0.0,627559.9702909446,2260098.8556823805,0.0,112085.14629427085,357.19147574830066
BEN,Benin,BEN_V1,6825984.683289339,271764.4914905442,2696.430081415527,0.0,5104123.911748261,6706780.815429499,5242357.568727364,1485188.2083533795,4317.184595886596
BFA,Burkina Faso,BFA_V1,1.1452981286030842E7,76876.76048444616,0.0,0.0,9732046.041938124,1.0826016118024644E7,1.1452981286030842E7,876195.9419823444,767783.4703105222
BGD,Bangladesh,BGD_V1,5.894511710417982E7,3.2561711618747037E7,4068017.7651114026,5.373708044349996E7,5.406250659700227E7,9804720.15421771,4.883113497821872E7,899881.6070725146,136638.98781156444
BGR,Bulgaria,BGR_V1,1006142.9686128875,34189.95150601569,162.11401717435507,0.0,788770.2038694147,851426.3973175894,0.0,67645.67938876383,120.95270923562202
BHR,Bahrain,BHR_V1,351172.43261056725,0.0,7054.69578679401,0.0,185.41635525965256,351038.99554722675,351038.99554722675,0.0,27799.553404483173
BHS,Bahamas,BHS_V1,89019.29443549213,0.0,3055.524653153366,89019.29443549213,75452.3101778796,88898.06407174001,0.0,2827.9067896147435,605.8376158283841
BIH,Bosnia and Herzegovina,BIH_V1,512354.98107067874,24055.94628585235,0.0,0.0,381575.08982257306,416908.70332096977,0.0,18470.656573232183,3.8323340080678463
BLR,Belarus,BLR_V1,1784074.6269130355,83687.0239854258,0.0,0.0,1006266.4918792379,1776354.609107532,0.0,59120.042930465475,605.1638829675503
BLZ,Belize,BLZ_V1,133375.3004894926,18492.625493608943,2364.660106364823,133375.3004894926,4636.451576773968,104453.22900634559,33629.75358389242,13757.394402826243,193.6005825188887
BRB,Barbados,BRB_V1,59726.73838165832,0.0,38.26048742415859,59726.73838165832,0.0,59726.63860568065,0.0,0.0,0.0
BRN,Brunei Darussalam,BRN_V1,102830.8837196441,16059.453487130226,278.67522902574535,0.0,7364.14187845541,98399.22981350252,0.0,10059.524962040501,93.57397033598492
BTN,Bhutan,BTN_V1,69176.36099967001,11606.935560010326,0.0,0.0,10104.02874773646,19151.94777350419,0.0,35843.43812779814,14.735588326415176
CHE,Switzerland,CHE_V1,1577204.8732415624,78751.32179548455,0.0,0.0,818735.8324229448,1553541.6340059852,0.0,16413.28671569548,176.16182660003687
COM,Comoros,COM_V1,371412.6263740159,0.0,298.86582018746,371412.6263740159,15514.164497544538,370048.8144401476,0.0,27.746335715055466,0.0
CPV,Cape Verde,CPV_V1,164771.24478015688,0.0,0.0,164771.24478015688,39864.454564570915,124090.31842064511,0.0,3089.144790758923,75094.87441954405
CRI,Costa Rica,CRI_V1,1177592.5638178373,19821.50964189312,2243.3343571109694,570128.509104453,120808.68575568213,1155486.4131063204,37315.233093521434,51163.29783241018,11.093649983406067
CUB,Cuba,CUB_V1,2038496.3605232593,11178.906347041146,24434.549629364366,2038496.3605232593,1105255.8065495272,2037450.8994639046,415639.23082172615,231879.3472699086,3179.7125099864315
CYP,Cyprus,CYP_V1,224796.37221262534,0.0,348.83776107027205,0.0,161217.95741611184,180505.77601504733,118648.91663884795,14653.919316258964,19276.249116281127
CZE,Czechia,CZE_V1,2009189.7411027679,58253.55737212113,0.0,0.0,1762319.274014283,1573270.6391038226,0.0,21910.344137930813,182.5339260921828
DJI,Djibouti,DJI_V1,298263.9934590763,22914.640799800673,1255.6225702256543,0.0,0.0,191976.5823611687,193645.2283331588,2959.091004585636,265255.3285986068
DMA,Dominica,DMA_V1,14434.397455356779,0.0,11.897745093177345,14434.397455356779,2287.944664110068,13005.22243150738,0.0,0.0,0.0
DNK,Denmark,DNK_V1,970768.1611903766,958.1317032385591,24650.169759069297,0.0,548895.1289107779,838328.6926358679,0.0,23170.53234243737,1524.8366800216684
DOM,Dominican Republic,DOM_V1,3626457.024455917,75611.02670907682,15357.596676120102,3626457.024455917,1346564.406888029,3565368.530990896,210704.46301754192,98921.92023487027,795.0109377237804
ECU,Ecuador,ECU_V1,4893270.14344961,858123.1461342422,11939.581531321333,0.0,1573369.524727543,4576104.0116702765,7.177436463655356,509817.31258765236,45325.87317468203
ERI,Eritrea,ERI_V1,1585015.954111133,12828.51095600781,1881.540359744839,0.0,877483.7509912613,1559874.639490439,794833.4278232785,34326.75230604515,936004.6566675938
EST,Estonia,EST_V1,253470.75467857986,4792.053583953183,140.9911643717769,0.0,60567.169761412006,252189.01351441137,0.0,7291.179307638484,499.33031888921323
FJI,Fiji,FJI_V1,295005.78866114205,0.0,19933.43835917261,295005.78866114205,47624.91556730032,294147.9045425679,0.0,1429.8088945158117,0.0
FSM,Micronesia (Federated States of),FSM_V1,33249.89029055122,0.0,63.29158519536828,33249.89029055122,33249.89029055122,33007.4718639008,0.0,0.0,0.0
GAB,Gabon,GAB_V1,872466.1207423797,75877.8258014172,4140.271549086507,0.0,349694.81029078685,784470.017711692,0.0,21599.197036823258,1297.1045187174104
GBR,United Kingdom of Great Britain & Northern Ireland,GBR_V1,1.2336833635104131E7,421343.3123617484,273991.6972269417,8857155.547152089,2176208.318880633,5542795.152109555,0.0,466902.5256202454,2012.9762414855961
GEO,Georgia,GEO_V1,700519.7913548684,51198.01396356501,5732.849356191855,0.0,316588.4282908413,536052.8007618668,26595.255550063768,20147.415855471958,1922.5085067114958
GHA,Ghana,GHA_V1,1.411642141817317E7,492717.5713719238,14037.601814260799,0.0,1.0567658569447026E7,1.3474294496751431E7,8492537.333838688,2718473.741379927,19987.401716687113
GIN,Guinea,GIN_V1,6914102.453145165,132882.8368810576,20712.7347430731,0.0,2878641.2039479595,6094453.392395012,4337515.078271352,3972673.73798369,23428.356639430673
GMB,Gambia,GMB_V1,1278165.2034103067,48065.88042740366,2510.7996180302957,0.0,1214679.044456276,1029900.8639476572,823868.421106597,273396.12189084454,7588.403464338329
GNB,Guinea-Bissau,GNB_V1,966847.02716032,18854.84465983706,1502.2407230554259,0.0,513106.25943832676,867386.0808499914,838100.5678572699,290578.69533957774,1993.0913725268315
GNQ,Equatorial Guinea,GNQ_V1,784556.7299905845,72983.40424000422,1090.9869160563337,0.0,566665.4370712613,698511.2668785498,0.0,669.2867764234543,2828.132257149266
GRC,Greece,GRC_V1,1257555.3270115645,21355.980731749543,5316.257185492728,0.0,594326.6397307487,932255.4839220935,164702.49866602427,365015.900358196,2786.3064624506123
GRD,Grenada,GRD_V1,26601.07343335618,0.0,81.532227894021,26601.07343335618,23924.67245521536,23847.180754911573,0.0,0.0,0.0
GTM,Guatemala,GTM_V1,6933068.9661522,96325.37806773357,4471.051906667161,2194804.378358917,1469896.7740106739,6849097.089600818,385988.10877383733,959305.8217163881,1.2632020115852356
GUY,Guyana,GUY_V1,279497.8827675183,146062.80202784206,14792.847932009146,30008.56784167244,193960.76600587778,255225.9772037684,17429.685833184583,6106.767594629087,0.031488001346588135
HND,Honduras,HND_V1,3943826.4814906293,219893.55378340458,5154.329696561335,3943826.4814906293,1400308.2682601132,3855292.4385465444,599646.9850918798,471726.5754841775,72.83921972209332
HRV,Croatia,HRV_V1,602121.2349672768,51045.338903803735,2014.8245857398474,0.0,477312.524743042,520563.5325982522,0.0,38454.7122884654,152.7837005882928
HTI,Haiti,HTI_V1,4369391.958393687,29673.260446703935,6884.491021643553,4369391.958393687,2486972.970768388,4363789.356701816,146492.87560053178,39188.394436821196,11783.196320952446
HUN,Hungary,HUN_V1,1448883.670877193,175548.83680634983,0.0,0.0,1240512.0399402955,854151.8862905562,0.0,47500.834351897865,142.51069968775846
IRL,Ireland,IRL_V1,1175289.0810311974,27424.20390071604,11150.4039200412,1175289.0810311974,114348.17579090316,124154.1610876169,0.0,16439.03176967533,44.70304695402875
ISL,Iceland,ISL_V1,15046.38686044999,2605.1660069133654,3951.9177343944857,0.0,53.19723901612451,9091.706139077556,0.0,9.223773718618002,28.158526473946633
ISR,Israel,ISR_V1,2469400.807153066,4284.296862268185,361.02960121335786,0.0,1164877.5743151936,2418364.7707833806,498440.81837500783,264382.1425682579,152926.88095222888
