iso3,adm0_name,air_pollution_absolute,air_pollution_relative,agricultural_drought_absolute,agricultural_drought_relative,drought_spi_absolute,drought_spi_relative,drought_spei_absolute,drought_spei_relative,coastal_flood_absolute,coastal_flood_relative,extreme_heat_absolute,extreme_heat_relative,fire_frequency_absolute,fire_frequency_relative,fire_FRP_absolute,fire_FRP_relative,heatwave_duration_absolute,heatwave_duration_relative,heatwave_frequency_absolute,heatwave_frequency_relative,heatwave_severity_absolute,heatwave_severity_relative,river_flood_absolute,river_flood_relative,tropical_storm_absolute,tropical_storm_relative,sand_dust_absolute,sand_dust_relative,vectorborne_malariapf_absolute,vectorborne_malariapf_relative,vectorborne_malariapv_absolute,vectorborne_malariapv_relative
BTN,Bhutan,5.978242077256034,10.0,4.009473399188012,1.3517759664406932,4.456691641452883,1.7886000502348185,4.178061284418558,1.4825293281022807,1.0,1.0,1.0,1.0,5.062702606528383,3.3816453050156454,5.180020972351354,3.433578656022407,3.173842311173304,1.0291271619222286,3.5748335054766587,1.1156779834672252,2.2228577608765017,1.0,4.163903191484486,1.8404983044580714,1.0,1.0,1.0,1.0,3.2753859123051097,1.0584453565276888,5.024863379249043,3.2391503851195402
BWA,Botswana,6.958055340781614,9.998830669413856,5.399868169450077,1.74039516130843,5.658432057522041,2.145425235223189,3.3562417712968795,1.0,1.0,1.0,6.900053805002209,9.224502662589028,5.663903947908841,1.9803081902289503,7.067830100334689,7.119527675677077,6.735420821985867,6.998136697027916,6.966127017760022,8.294842662345376,1.0,1.0,5.274954556254704,2.0250239414733455,1.0,1.0,5.356430690559561,1.2073720197680555,6.496758997183257,5.879293804599747,1.0,1.0
CAF,Central African Republic,7.701216624498702,9.999987509014211,6.7729828372696375,3.0957656752611675,7.234440337365726,5.349495333331473,7.425166990986808,6.859867269656766,1.0,1.0,7.671370663465758,9.592882876439276,8.698119203145536,10.0,5.671660600460385,1.049541207618471,7.746026438583106,9.995526798037428,7.737102857433421,8.40194167248771,6.806511134384618,3.1304427924239695,5.89948381751147,1.803917296602185,1.0,1.0,1.0,1.0,7.701217519585741,10.0,1.8127318962068002,1.0
CHE,Switzerland,7.286738014606549,9.766125434243081,6.86972440575823,5.578686443880514,7.283642230842682,9.724134854943731,7.277632094538339,9.643182144486275,1.0,1.0,1.0,1.0,4.828754109716321,1.0,3.7292802894399695,1.0,6.773464877062578,4.705363395770117,7.334462652961959,8.454253507138839,6.850781239147754,5.293932487196277,5.4371693784048265,1.7237586497978934,1.0,1.0,1.4426412486335365,1.0,1.0,1.0,1.0,1.0
CHN,China,10.0,9.739863200859153,10.0,5.883101774015496,9.675975590546384,2.890188436293251,9.714061247049127,3.009463264441525,10.0,5.215785749719379,9.78993148140117,3.268897717470176,10.0,1.9191647530831264,9.625336353193449,1.2152441754733094,9.416056952523116,2.128339588864423,10.0,3.246860502049026,10.0,3.7610183525050473,9.924112769084358,5.215191809994778,10.0,6.008257964172792,9.092662243664382,1.0140783811002796,3.956238038749655,1.0,4.7642428565378765,1.0
CIV,Côte d'Ivoire,8.757774584378613,9.897387302016362,8.381764666071264,5.955751599561684,8.4282894433269,6.329357211495422,8.406898431496337,6.154265513000612,3.082560781459898,1.0,8.233987737791008,4.931499225983568,8.575184516020606,4.027765612484934,6.6822523511544,1.0,8.790197845809992,9.629757228398237,8.923954862336334,9.570228418030176,1.0,1.0,6.716364145172552,1.4747007546976794,1.0,1.0,2.1392061426161884,1.0,8.763398267116099,10.0,1.0,1.0
CMR,Cameroon,8.707873289719412,9.992118677665346,8.350075641766043,6.153527956107778,8.654113911606963,9.272648591079685,8.690344867402741,9.750979268000348,4.5604546294200645,1.0,8.12723795538335,4.63421220829651,8.564591893153418,4.282485410703395,6.920832109182163,1.0541328485679147,8.59589175992732,7.983654327862194,8.450820799911213,5.560124625586075,1.0,1.0,7.038296872202791,1.9815969161489742,1.0,1.0,5.550796452331101,1.0,8.705029860813553,10.0,1.0,1.0
COD,Democratic Republic of the Congo,9.604996624835938,9.680809262998407,8.448520845667527,2.3953715666897293,8.446490561110796,2.390746632247891,8.585963404587249,2.744484448065092,3.0637218861557485,1.0,8.933481701179009,4.038108919662889,10.0,10.0,9.4223089907425,2.7039083423845356,9.655557927912387,9.58249543817978,9.816644334789228,9.679076356052253,7.146239334088797,1.087838343844779,7.801663983481406,1.710591639283371,1.0,1.0,6.150734872663556,1.0,9.596543835859768,10.0,1.0,1.0
COG,Congo,7.685490812197809,9.720351944201143,6.275810496275227,1.9212556167981338,7.547809663373215,8.04173633137256,7.561101264187958,8.188761071683935,2.749164575792349,1.0,5.473865932886768,1.2046344561053424,7.3732493920392645,4.3369888446003255,5.246814373070032,1.0,7.590270142791656,8.023943593607344,7.696638281616388,7.911281019640922,1.0,1.0,6.493350257569373,3.210319730333116,1.0,1.0,4.544636318566306,1.0,7.705054532848724,10.0,1.0,1.0
CYP,Cyprus,5.91282589783097,7.667357921614361,5.810685172727261,6.686611867517234,1.0,1.0,1.0,1.0,2.058956438165327,1.0,5.611441906689437,5.164219465461808,2.464802012658948,1.0,4.992962880710634,2.475464089497467,5.865521286185322,6.887689219782922,5.5256039715084775,4.065673650195674,1.0,1.0,1.0,1.0,1.0,1.0,5.113047033656763,1.758127146209476,1.0,1.0,1.0,1.0
CZE,Czechia,7.460085241475632,9.999999999999996,7.369124440464224,8.815272422483734,7.460085241475632,10.0,5.397932909880421,1.292656017278689,1.0,1.0,1.0,1.0,2.3561337330263927,1.0,5.307485528810769,1.0204477543452695,6.050787556754138,1.9011777728271688,7.069834512268762,4.901560281523758,6.7949501700938075,4.076304907327995,5.236576898182026,1.3443300919055288,1.0,1.0,1.4704184711226609,1.0,1.0,1.0,1.0,1.0
DEU,Germany,8.719653098763379,9.977842382418919,7.9174347353696,3.5559770383495564,8.597899373520674,8.431870716817553,7.671564579667475,2.72386186858963,6.92708716904877,1.3974329889391355,1.0,1.0,6.3445279367700085,1.0,6.549071313146104,1.0,7.428979615421406,2.0797383938814735,8.636527038535387,6.932516013545689,8.580852505021493,7.632411607224541,6.944909861270853,1.8092926984012223,1.0,1.0,2.458000891088887,1.0,1.0,1.0,1.0,1.0
DJI,Djibouti,5.810805968566546,4.483968116934904,1.0,1.0,1.0,1.0,1.0,1.0,3.114037051589277,1.0,5.930574903188266,5.205514429083618,1.4633527615055226,1.0,3.7145933526248682,1.0,5.922757833118279,4.944995348534437,6.005472339922648,4.916689150510537,1.0,1.0,4.615738322135439,1.8433353253439773,1.0,1.0,7.162645026339973,8.31680322948205,6.390430831427491,10.0,5.067637112289436,2.1696272658048232
DNK,Denmark,6.963557396517235,8.525519104237771,6.606854761414642,5.314128261344488,6.974274262218225,8.651853252276762,6.271021512667129,3.5397269317581697,5.478424940253804,2.7255425216383244,1.0,1.0,2.6971047112153284,1.0,5.333541952942234,1.3031905343062622,6.245438746547377,3.305779683370621,6.8852399006063605,6.345311898251165,5.446776284203069,1.6462742873342278,2.5035850125603454,1.0,1.0,1.0,3.1298019947112192,1.0,1.0,1.0,1.0,1.0
DZA,Algeria,8.799570445337197,9.830397358341791,8.427893653085704,5.951567951185872,7.755574228536872,2.705606455922944,7.6368993937032315,2.4064102117993005,1.3298036986023267,1.0,8.586973709733764,7.346295327237585,7.451963410778168,1.428198776331358,9.04455914060152,5.092036999625368,8.450416071849201,5.744475616133487,8.761640521549822,7.23105085466508,8.057155916550588,3.56145008132328,6.387150810722375,1.1899848509218311,7.2381744289604715,1.3096146577812384,9.214703525177192,3.4899900101370855,1.0,1.0,1.0,1.0
EGY,Egypt,9.45112724157958,9.921124162993626,9.181544617389097,6.867098279356466,7.523307640385056,1.3764059056126576,4.1359531679601576,1.0,8.279391100266084,2.5482193535901536,9.385570906697865,9.058358194290328,7.572658175821054,1.0098777278120317,8.21019011578499,1.2671204924838584,8.47631256296862,2.7780637718078185,8.735130948278723,3.1665834773965393,9.069294734645348,5.436138042750392,9.18014162289914,10.0,1.0,1.0,8.87473565510644,1.5117055675226276,1.0,1.0,1.0,1.0
ERI,Eritrea,7.231869518299909,8.986710957068759,6.910529443720721,5.841472915439896,5.771140960323108,1.7670456580339833,5.14333375547791,1.236376018042238,3.3319836204170907,1.0,6.850437863973159,5.406844423605629,3.5178760447314494,1.0,5.63575408088259,1.3181190043043611,7.318313975104605,9.553478627237164,7.295032324526177,7.965556230534543,1.0,1.0,4.229281668438976,1.0,1.0,1.0,8.148330425906316,7.573752009335648,7.285237233074204,10.0,7.285237233074204,10.0
ESP,Spain,8.204250887593295,8.955434843484994,7.889566905299116,5.872833715318594,6.572014479954905,1.5659027704504236,6.636899407181957,1.6346914624482385,4.519005401635715,1.0,7.615361308679011,4.167499481040036,6.7257503968139005,1.3457616213545738,8.002955401170224,3.388898906417526,8.108141835160234,7.363025272542704,8.241879158466364,7.436143929283309,6.893514037400813,1.9365558325693573,6.212774895462751,1.4630300341220712,8.295278970463293,6.891423208703205,7.34293369563826,1.4197035376248208,1.0,1.0,1.0,1.0
EST,Estonia,6.111147133844467,9.691295777506046,5.153589951140525,2.9285362776608297,6.002354262912535,8.340565262467965,4.226301903061255,1.3955430026035698,1.6581863654922508,1.0,1.0,1.0,2.9741631192774896,1.0,4.289584667292864,1.4011870698184148,6.136868383467419,9.575542771110525,6.066758836583749,7.714832093673447,3.8554551217059707,1.1872872020168495,3.5745507326266996,1.1490484366353955,1.0,1.0,2.257098286289017,1.0,1.0,1.0,1.0,1.0
ETH,Ethiopia,9.663503749162818,9.945606186364522,9.328703025288027,6.314150725877313,8.646022923033748,2.8044017049887975,8.477352021445075,2.372053323676685,1.0,1.0,8.119725154040527,1.754010260670615,8.826260588496947,1.8417588605796682,9.291147013763672,2.3000879287493214,9.708636500661658,9.765346734679861,9.675637550605213,7.5950529111143155,8.12363470165481,1.6869853403166404,6.769495412141641,1.0,1.0,1.0,9.468739551032419,1.8546399299723293,9.5504721562604,9.34955880087647,9.5483016404425,9.321449123554796
FIN,Finland,6.926372227672513,9.097697117623321,4.557941421411744,1.1249926356960462,6.566416492569248,5.621462143243173,5.677859408898684,2.1137609421932364,4.264810908848942,1.0,1.0,1.0,1.119447085561081,1.0,3.633064228234917,1.0,6.590727271659729,5.527716937585681,6.848506295205056,6.765683433014421,6.2477269344783775,3.749576251028073,5.313140201990786,2.0269884380879493,1.0,1.0,2.3039818728455566,1.0,1.0,1.0,1.0,1.0
FRA,France,8.678947934046827,9.907088109046631,7.9615129839001195,3.9003627793746145,8.615614984577999,9.073483640066101,8.561848285074841,8.426694495502256,6.512140477070993,1.0,4.226400670741109,1.0,6.578141793088529,1.0,7.703292308666558,1.6917821239470412,8.075898964739348,4.224641507488021,8.678833932285507,7.687156449848166,7.75897953766628,2.9615945190306157,7.051574674033018,2.0474233995371582,7.6209259328886345,1.8739331082826247,4.087441880224203,1.0,1.0,1.0,1.0,1.0
