rfl_rel,cfl_rel,ts_rel,agdr_rel,metdr_spei_rel,metdr_spi_rel,hw_fre_rel,hw_dur_rel,hw_sev_rel,ext_rel,fr_fre_rel,fr_int_rel,sds_rel,iso3,SIDS
-3.5190148,0.5018688,-0.06361324,7.0524035,-0.20683794,-4.0432467,-0.93147224,0.48533705,-0.4919988,35.334393,2.3450997,1.2114322,1.332449,BFA,False
0.03581533,0.38507426,-0.42048132,-1.4840413,-0.22286218,-1.0949057,0.1785197,0.3230989,-0.6837423,-18.45502,-1.5560296,0.12535958,-0.40064502,BLR,False
0.3463472,0.049882468,-0.1270123,-5.8197355,-0.13434945,-0.11241387,-0.6449633,-0.38003275,0.13304153,16.5271,2.8772826,0.34703058,0.38373616,BOL,False
0.33468857,-0.7704273,0.79707056,-11.30002,-0.9593988,-0.7179906,-0.303925,0.6586213,-1.5476524,14.896587,2.5359688,0.88847214,0.10985998,BLZ,True
1.0016843,1.8130198,0.55152756,15.447972,1.512184,0.396227,0.12241879,-0.20674469,-0.29842412,30.816908,-5.10129,0.94010115,-0.7430554,BGD,False
-1.7774181,0.5960152,0.59659594,-5.517096,-0.32148114,0.49278712,-1.512136,-0.2701487,-1.2686454,-18.16174,-2.1373363,0.43814674,-0.12482773,BHS,True
3.742929,3.0857527,1.1067606,1.7353739,0.716805,1.6133553,0.62695825,0.9939972,4.8967032,20.47486,3.9341865,0.8097437,-0.29671842,CHN,False
0.8371394,0.7869207,-0.21649557,14.009523,-1.4445446,-0.62424845,0.32652265,-0.3816825,-0.06554971,-19.4407,0.26437977,0.84760153,0.118316054,BIH,False
-0.35082325,0.5040707,-0.2872599,-1.5094253,-0.06171097,-1.3071958,-0.6645516,0.13605274,-0.68956155,-17.792957,-1.811166,-4.109987,-0.4317601,CHE,False
0.561432,0.5187955,-0.1361375,-3.8503852,-0.023776332,1.3600612,-0.40185043,0.6569907,-0.17798397,48.798206,3.8282993,0.37801725,1.0015455,BWA,False
0.56381226,-0.17747003,-0.31705466,-8.170596,-0.1121521,-0.2995423,-0.17147619,0.59598666,-0.48673233,16.159235,-0.20454088,0.5702127,-0.40092131,BRA,False
-0.4741521,0.14539148,-0.36778972,-6.5017676,-0.41099527,0.60106283,0.55960363,-0.43414694,-1.1158984,-21.819809,0.5799225,0.7121825,-0.1814649,BTN,False
0.76271474,0.43995145,-0.113891855,-2.5435205,0.70579314,1.1557229,-0.17481917,3.2943063,2.7721472,46.608234,15.261765,0.2587544,1.1479106,CAF,False
0.9222416,-0.67617464,-0.40964642,-4.933715,-0.06419248,-0.41208196,-0.888988,0.04843049,-1.1768456,-19.676645,0.9611324,-2.256613,-0.10669174,BRN,False
