iso3,P2_electricity_access_value_normalized,P2_DTP1_access_value_normalized,P2_DTP3_access_value_normalized,P2_Skilled_birth_coverage_value_normalized,P2_Stunting_value_normalized,P2_Child_Food_Poverty_value_normalized,P2_Lower_secondary_out_of_school_value_normalized,P2_Lower_secondary_completion_rate_value_normalized,P2_Learning_poverty_value_normalized,P2_Child_labor_value_normalized,P2_Child_marriage_value_normalized,P2_Child_poverty_value_normalized,P2_Under_five_covered_by_social_protection_value_normalized,P2_Under_five_mortality_value_normalized,P2_Basic_hygiene_value_normalized,P2_At-least_basic_drinking_water_value_normalized,P2_At-least_basic_sanitation_value_normalized,P2_arithmetic_avg,rank_reverse
CHN,0.0,0.1999999999999993,0.1724137931034484,,0.7142857142857143,1.453957996768982,0.39655172413793105,0.7540259551263819,1.6000000803094103,,9.999999999999998,,9.71,0.1498040752751879,0.48958333333333215,0.9493178430769245,0.5327522433333325,3.2345915602299224,69.0
GRC,0.0,0.0,0.5172413793103452,,0.20408163265306123,,,,,,,,5.109999999999999,0.0,,0.0,0.2061430633333341,1.117913391484635,145.0
CRI,0.0,0.0,0.0,0.31654676258992787,1.959183673469388,0.29079159935379645,0.2737763793103448,3.0743496449220746,3.2656912552682944,0.7179487179487178,0.7396591727338186,0.0,5.579999999999999,0.059470404640847574,1.7389176260416654,0.054423076923077573,0.2076843855555559,1.0934303999592658,147.0
HRV,0.0,0.0,1.0344827586206904,,,,,,0.09374149222122946,,,,5.43,0.0,,0.022740321538462283,0.7378131700000008,1.2497691648394715,140.0
CYP,0.0,0.0,0.6896551724137936,,,,,,0.7631218558863578,,,,0.0,0.0,,0.046399296923077316,0.12050168333333389,0.21529148069716558,175.0
CZE,0.0,0.1999999999999993,2.068965517241378,,0.2857142857142857,,,,1.1796429282740526,,,,8.37,0.0,,0.2282000323076918,0.06961432777777787,1.7900977055185887,122.0
CIV,3.288888888888888,3.6000000000000014,3.6206896551724137,2.287769784172662,3.9387755102040822,4.81421647819063,5.436891379310344,8.168607544847681,8.093202289782063,3.0769230769230766,4.399551964157133,,9.05,4.11585102475415,9.256216190625,5.546193069230769,8.410496603333334,5.635779616275214,24.0
PRK,5.033333333333333,0.0,0.0,,3.183673469387755,,0.0,0.0,,0.846153846153846,,,,0.5039451785908433,,1.7302115569230754,2.9938506588888885,1.4289302299693674,132.0
DNK,0.0,0.1999999999999993,0.3448275862068968,,,,,,0.22490411055715365,,,,0.0,0.0,,0.0,0.04471272111111091,0.08577393330300156,185.0
DJI,3.8888888888888893,3.1999999999999993,3.6206896551724137,,4.061224489795919,,,,,,0.06500520041603328,,9.65,1.0561737358299663,9.207825661458333,5.77080398,8.67579594,4.381178577980299,42.0
DOM,0.21111111111111214,0.1999999999999993,1.8965517241379288,0.27338129496402885,0.9387755102040816,1.0662358642972536,0.40712446551724146,2.635909427535676,7.865037616930504,0.7179487179487178,2.7994239539163135,,3.1799999999999997,0.41841239877397757,6.942803244791666,0.7975926846153847,2.0997500466666654,1.9887054214089726,115.0
ECU,0.0,4.800000000000001,4.827586206896551,0.11510791366906403,3.408163265306122,3.5379644588045234,0.8620689655172414,1.0967647140576826,6.624960648386094,,2.7994239539163135,,7.08,0.19712684193248425,1.5753328374999995,2.863896480000001,1.548960904444444,2.977516624478192,77.0
SLV,0.0,0.0,0.5172413793103452,0.20143884892086383,1.7142857142857144,,,,6.955118279708053,1.5128205128205128,1.439915193215457,,9.95,0.05444831161628505,1.2498626947916662,3.0187987492307684,2.5420621400000005,3.228590201479998,70.0
GNQ,3.666666666666668,4.600000000000001,5.1724137931034475,,3.2857142857142865,,,,,,0.3208256660532843,,9.86,4.338091964748092,8.344635416666666,10.0,4.749829561111111,4.997080065949715,33.0
ERI,4.955555555555556,0.1999999999999993,0.5172413793103452,,9.591836734693878,,,,,,1.0514841187294983,,8.98,1.8284147242026934,,10.0,10.0,5.557111314874672,25.0
EST,0.0,3.1999999999999993,2.93103448275862,,0.06122448979591838,,,,,,,,0.0,0.0,,0.0,0.08836627444444467,0.4298171575875361,162.0
ETH,5.0,3.400000000000002,4.310344827586207,6.460431654676259,7.040816326530613,7.237479806138934,5.129310344827586,8.995071565166697,9.198909558747935,,9.999999999999998,10.0,9.55,2.029352903850623,10.0,8.160814936923076,10.0,7.2710805560913485,5.0
FIN,0.0,0.1999999999999993,1.2068965517241388,,0.14285714285714285,,,,0.18748705010665057,,,,0.0,0.0,,0.0,0.060701347777778025,0.1382767306823436,181.0
GTM,0.10000000000000142,2.400000000000002,2.93103448275862,4.273381294964029,8.89795918367347,1.3247172859450727,4.77586224137931,5.890293801719207,7.949072586862663,,4.19953596287703,,9.72,0.5120012506079719,3.1325797645833324,1.6679047338461537,4.455334104444445,4.465618352905234,39.0
GNB,6.955555555555556,4.800000000000001,5.1724137931034475,5.496402877697841,5.571428571428572,8.336025848142164,3.839494827586207,9.453867380184786,,7.564102564102563,0.357428594287543,,,5.301606462716149,8.777825182291666,7.295688467692308,9.20455663111111,6.149149473200496,17.0
