ISO3,child_population_exposed_75,child_population_exposed_80,child_population_exposed_90,Region
xFR,0.0,0.0,0.0,
xJK,1930468.9595594995,1546428.4514684074,572931.5494723816,
xJL,10368.369678654011,10368.369678654011,0.0,
xPI,0.0,0.0,0.0,
xRI,0.0,0.0,0.0,
xSI,0.0,0.0,0.0,
xSK,0.0,0.0,0.0,
xSR,0.0,0.0,0.0,
xUK,1510.2913363930647,1510.1187447186637,0.0,
xxx,0.0,0.0,0.0,
