iso3,adm0_name,adm0_id,hazard,child_population_exposed,child_population_total,population_total
PRK,Democratic People's Republic of Korea,67,heatwave_duration_ecmwf_2014-2024,1229.64781771571,5968303.777658398,26296509.136736847
BGD,Bangladesh,23,heatwave_duration_ecmwf_2014-2024,4423653.3590175705,58945359.964651965,172282053.56302592
KHM,Cambodia,44,heatwave_duration_ecmwf_2014-2024,6169401.832103753,6211092.5286127385,17474540.400970142
TLS,Timor-Leste,242,heatwave_duration_ecmwf_2014-2024,286959.4371692676,566005.354646166,1365431.7307479528
PAK,Pakistan,188,heatwave_duration_ecmwf_2014-2024,24351926.68546606,107779127.79824884,248748014.58764905
TJK,Tajikistan,239,heatwave_duration_ecmwf_2014-2024,2208365.72967392,4387147.84155522,10514845.52782798
IND,India,115,heatwave_duration_ecmwf_2014-2024,10749652.694148725,429150995.5582503,1424016600.807609
VUT,Vanuatu,277,heatwave_duration_ecmwf_2014-2024,55574.5036083548,141923.15132746843,281242.4231341602
FJI,Fiji,276,heatwave_duration_ecmwf_2014-2024,185923.91136020832,294958.3078123287,881246.852758111
LKA,Sri Lanka,231,heatwave_duration_ecmwf_2014-2024,4515379.563786405,6180118.469594925,22671472.23469053
PNG,Papua New Guinea,274,heatwave_duration_ecmwf_2014-2024,521478.3095686247,3771717.307689776,9641609.880287604
IDN,Indonesia,272,heatwave_duration_ecmwf_2014-2024,52605853.251840346,81336362.74107812,274185492.4963244
MMR,Myanmar,273,heatwave_duration_ecmwf_2014-2024,13680644.397124428,15614928.256212045,53612937.6636784
EGY,Egypt,284,heatwave_duration_ecmwf_2014-2024,2586436.7399782613,43437952.37996511,114593960.95929933
TUN,Tunisia,248,heatwave_duration_ecmwf_2014-2024,917278.9291784336,3505061.870340184,12121904.675066331
GMB,Gambia,90,heatwave_duration_ecmwf_2014-2024,419155.3647310649,1289237.894744835,2704730.2334902566
UKR,Ukraine,254,heatwave_duration_ecmwf_2014-2024,5540901.224278069,6430335.486416318,37050499.57614443
YEM,Yemen,269,heatwave_duration_ecmwf_2014-2024,18166296.91983757,18647024.6574552,39242010.2353967
SYR,Syrian Arab Republic,238,heatwave_duration_ecmwf_2014-2024,7689139.473290153,8929442.599113205,24155971.04934034
MAR,Morocco,169,heatwave_duration_ecmwf_2014-2024,6157423.10936288,11626168.771652278,37655876.32813552
TUR,Republic of Türkiye,249,heatwave_duration_ecmwf_2014-2024,13837213.308239425,22274943.761860467,85384681.28799714
LBN,Lebanon,141,heatwave_duration_ecmwf_2014-2024,60558.48415702613,1848615.599675144,5708966.641701546
IRN,Iran (Islamic Republic of),117,heatwave_duration_ecmwf_2014-2024,17201423.8376223,24294847.97704894,90460481.38508265
LBY,Libya,145,heatwave_duration_ecmwf_2014-2024,1510.0914769394506,2369493.490321166,7084741.747273151
JOR,Jordan,130,heatwave_duration_ecmwf_2014-2024,378438.57502934814,4258511.621413205,11523774.929833747
IRQ,Iraq,118,heatwave_duration_ecmwf_2014-2024,19674956.295293804,19703403.36317587,45558484.665153936
PHL,Philippines,275,heatwave_duration_ecmwf_2014-2024,13574102.733328415,38920803.287722126,111743114.05979204
ARM,Armenia,13,heatwave_duration_ecmwf_2014-2024,571239.5170847308,692305.7649314527,2985307.448081244
DZA,Algeria,4,heatwave_duration_ecmwf_2014-2024,7570365.708522325,16139589.60339114,45535927.47066099
TCD,Chad,50,heatwave_duration_ecmwf_2014-2024,9740682.691795114,10563114.843832966,19892914.389687844
SEN,Senegal,278,heatwave_duration_ecmwf_2014-2024,1199992.775191174,8270845.143524748,18125219.403824627
CMR,Cameroon,45,heatwave_duration_ecmwf_2014-2024,11755580.710571105,13770790.335552186,28665184.905017003
TGO,Togo,243,heatwave_duration_ecmwf_2014-2024,4222306.559311984,4352988.267601922,9371860.951289304
SLE,Sierra Leone,221,heatwave_duration_ecmwf_2014-2024,558969.2131542016,3843552.9386017458,8475685.604939679
STP,Sao Tome and Principe,214,heatwave_duration_ecmwf_2014-2024,89492.44310448402,104965.0344655906,216939.55984168025
MLI,Mali,155,heatwave_duration_ecmwf_2014-2024,12385706.320451828,12887973.008701624,24125247.595852923
MRT,Mauritania,159,heatwave_duration_ecmwf_2014-2024,302800.6488352687,2509825.9873942854,5054010.907431189
NER,Niger,181,heatwave_duration_ecmwf_2014-2024,9582407.580669358,14400380.534801006,26793747.33668633
GIN,Guinea,106,heatwave_duration_ecmwf_2014-2024,4096410.882352749,6962287.367714651,14521541.651037283
GNB,Guinea-Bissau,105,heatwave_duration_ecmwf_2014-2024,332423.98742072936,991855.9531200428,2159573.759235356
LBR,Liberia,144,heatwave_duration_ecmwf_2014-2024,256959.7388158486,2595882.198157564,5503269.313599072
GHA,Ghana,94,heatwave_duration_ecmwf_2014-2024,13515727.137840703,14402609.794854682,33944101.02159335
CIV,Côte d'Ivoire,66,heatwave_duration_ecmwf_2014-2024,14235403.250364412,15023795.128891733,31498581.02338414
BFA,Burkina Faso,42,heatwave_duration_ecmwf_2014-2024,11319489.324065544,11453005.34020428,23295774.938637994
