ISO3,name,ucode,child_population_exposed
NER,Niger,NER_V1,1164106.9734344136
NGA,Nigeria,NGA_V1,5.420171984697991E7
NIC,Nicaragua,NIC_V1,1367806.6670972856
NLD,Netherlands,NLD_V1,3205629.3053269866
NOR,Norway,NOR_V1,464887.714067969
NPL,Nepal,NPL_V1,6395158.0648452705
NRU,Nauru,NRU_V1,0.0
NZL,New Zealand,NZL_V1,675904.8608612168
OMN,Oman,OMN_V1,507688.0904330891
PAK,Pakistan,PAK_V1,7.288740134098579E7
PAN,Panama,PAN_V1,878408.715376673
PER,Peru,PER_V1,5065013.423504746
PHL,Philippines,PHL_V1,2.6502380233853124E7
PLW,Palau,PLW_V1,0.0
PNG,Papua New Guinea,PNG_V1,2316975.322060824
POL,Poland,POL_V1,4657329.471548141
PRK,Democratic People's Republic of Korea,PRK_V1,3656124.596151829
PRT,Portugal,PRT_V1,623113.4995813961
PRY,Paraguay,PRY_V1,2062088.5382295763
PSE,State of Palestine,PSE_V1,1354559.6877646036
QAT,Qatar,QAT_V1,362972.2892779397
ROU,Romania,ROU_V1,2019062.7868926881
RUS,Russian Federation,RUS_V1,2.139557512874132E7
RWA,Rwanda,RWA_V1,1267743.9267248362
SAU,Saudi Arabia,SAU_V1,5076645.575046851
SDN,Sudan,SDN_V1,2577906.9099393766
SEN,Senegal,SEN_V1,1201501.361226515
SGP,Singapore,SGP_V1,862000.1816723318
SLB,Solomon Islands,SLB_V1,144085.43401088947
SLE,Sierra Leone,SLE_V1,2976652.191786487
SLV,El Salvador,SLV_V1,584793.3630660191
SMR,San Marino,SMR_V1,25.090689156945874
SOM,Somalia,SOM_V1,727540.9414449768
SRB,Serbia,SRB_V1,702138.8911059
SSD,South Sudan,SSD_V1,1932451.5358717581
STP,Sao Tome and Principe,STP_V1,63714.83023853769
SUR,Suriname,SUR_V1,198680.57379416522
SVK,Slovakia,SVK_V1,480005.3318393503
SVN,Slovenia,SVN_V1,217128.94179532872
SWE,Sweden,SWE_V1,1530092.1014781334
SWZ,Eswatini,SWZ_V1,101170.95051981826
SYC,Seychelles,SYC_V1,0.0
SYR,Syrian Arab Republic,SYR_V1,4758461.061441842
TCD,Chad,TCD_V1,3841774.525776261
TGO,Togo,TGO_V1,2750319.542111175
THA,Thailand,THA_V1,739263.8133939337
TJK,Tajikistan,TJK_V1,940573.6097893926
TKM,Turkmenistan,TKM_V1,375300.5023390268
TLS,Timor-Leste,TLS_V1,328873.31327701546
TON,Tonga,TON_V1,0.0
TTO,Trinidad and Tobago,TTO_V1,228721.50000379633
TUN,Tunisia,TUN_V1,955748.4212974632
TUR,Republic of Türkiye,TUR_V1,7889411.918966478
TUV,Tuvalu,TUV_V1,0.0
TZA,United Republic of Tanzania,TZA_V1,1.363480175281064E7
UGA,Uganda,UGA_V1,5289553.297115734
UKR,Ukraine,UKR_V1,3759884.8598350044
URY,Uruguay,URY_V1,712738.3329217815
USA,United States of America,USA_V1,5.727078904915633E7
UZB,Uzbekistan,UZB_V1,3535210.725268609
VAT,Holy See,VAT_V1,7.025249537299661
VCT,Saint Vincent and the Grenadines,VCT_V1,4460.230151348517
VEN,Venezuela,VEN_V1,6440825.579524837
VNM,Viet Nam,VNM_V1,2.1578245935820233E7
VUT,Vanuatu,VUT_V1,71480.44436491963
WSM,Samoa,WSM_V1,58248.79330031061
YEM,Yemen,YEM_V1,2296375.4063666784
ZAF,South Africa,ZAF_V1,8614565.154172838
ZMB,Zambia,ZMB_V1,4734582.670677167
ZWE,Zimbabwe,ZWE_V1,3927082.9027025276
AUS,Ashmore and Cartier Islands,AUS1_V1,0.0
CXR,Christmas Island,CXR_V1,0.0
CCK,Cocos (Keeling) Islands,CCK_V1,0.0
HMD,Heard Island and McDonald Islands,HMD_V1,0.0
NFK,Norfolk Island,NFK_V1,0.0
FRO,Faroe Islands,FRO_V1,5666.42009253757
ESP,Canary Islands,ESP1_V1,3220.446036156005
ALA,Åland Islands,ALA_V1,0.0
ATF,Bassas da India,ATF1_V1,0.0
GUF,French Guiana,GUF_V1,94697.55492808239
ATF,French Southern Territories,ATF_V1,0.0
ATF,Europa Island,ATF2_V1,0.0
GLP,Guadeloupe,GLP_V1,51561.924303207954
ATF,Juan de Nova Island,ATF3_V1,0.0
MTQ,Martinique,MTQ_V1,31361.966465580696
BLM,Saint Barthélemy,BLM_V1,0.0
MYT,Mayotte,MYT_V1,0.0
REU,Réunion,REU_V1,0.0
SPM,Saint Pierre et Miquelon,SPM_V1,0.0
xFR,Tromelin Island,xFR1_V1,0.0
WLF,Wallis and Futuna,WLF_V1,0.0
MAF,Saint Martin,MAF_V1,408.89431804678594
xFR,Glorioso Islands,xFR2_V1,0.0
IOT,Chagos Archipelagio,IOT_V1,0.0
GGY,Guernsey,GGY_V1,0.0
IMN,Isle of Man,IMN_V1,1777.577490398131
JEY,Jersey,JEY_V1,1545.6128358385156
SGS,South Georgia and the South Sandwich Islands,SGS_V1,0.0
xUK,Akrotiri,xUK1_V1,0.0
xUK,Dekelia,xUK2_V1,1250.7195258872418
ABW,Aruba,ABW_V1,14392.220009399618
CUW,Curaçao,CUW_V1,1556.6649486163058
BES,Saba,BES1_V1,0.0
BES,Sint Eustatius,BES2_V1,0.0
BES,Bonaire,BES3_V1,0.0
SXM,Sint Maarten,SXM_V1,0.0
BVT,Bouvet Island,BVT_V1,0.0
SJM,Svalbard and Jan Mayen Islands,SJM_V1,0.0
COK,Cook Islands,COK_V1,0.0
NIU,Niue,NIU_V1,0.0
PRT,Azores Islands,PRT1_V1,1322.4633780649917
PRT,Madeira Islands,PRT2_V1,366.26162165437864
UMI,Baker Island,UMI1_V1,0.0
UMI,Wake Island,UMI2_V1,0.0
UMI,Howland Island,UMI3_V1,0.0
UMI,Jarvis Island,UMI4_V1,0.0
UMI,Johnston Atoll,UMI5_V1,0.0
UMI,Kingman Reef,UMI6_V1,0.0
UMI,Midway Islands,UMI7_V1,0.0
UMI,Palmyra Atoll,UMI8_V1,0.0
UMI,Navassa Island,UMI9_V1,0.0
MNP,Northern Mariana Is. (USA),MNP_V1,0.0
PRI,Puerto Rico (USA),PRI_V1,237552.693191393
VEN,Bird Island,VEN1_V1,0.0
