iso3,iso3_wfp,wfp_id,adm0_name,type,hazard,child_population_exposed,child_population_total,population_total
MLI,MLI,155,Mali,State,coastal_flood_100yr_jrc_2024,0.0,12888878.856979078,24131568.3998254
GAB,GAB,89,Gabon,State,coastal_flood_100yr_jrc_2024,4456.313893592916,1027726.1765308188,2446619.770895445
CPV,CPV,47,Cape Verde,State,coastal_flood_100yr_jrc_2024,0.0,164827.75995643815,501385.47753986326
CMR,CMR,45,Cameroon,State,coastal_flood_100yr_jrc_2024,9514.27489066124,13805317.027192367,28730853.387374736
GHA,GHA,94,Ghana,State,coastal_flood_100yr_jrc_2024,14334.579483017398,14409017.928483415,34006944.05067461
BEN,BEN,29,Benin,State,coastal_flood_100yr_jrc_2024,3935.20727092986,6901106.326111014,14303355.685126474
BFA,BFA,42,Burkina Faso,State,coastal_flood_100yr_jrc_2024,0.0,11452998.510190822,23295771.853971068
MRT,MRT,159,Mauritania,State,coastal_flood_100yr_jrc_2024,10118.135913549224,2509836.371586768,5054278.81779694
CIV,CIV,66,Côte d'Ivoire,State,coastal_flood_100yr_jrc_2024,1453.184389722046,15023786.89711138,31498460.333327264
LBR,LBR,144,Liberia,State,coastal_flood_100yr_jrc_2024,3975.327422023751,2592556.2565637752,5456162.01303268
SEN,SEN,278,Senegal,State,coastal_flood_100yr_jrc_2024,26548.48823552105,8272207.755110648,18117367.862522725
TCD,TCD,50,Chad,State,coastal_flood_100yr_jrc_2024,0.0,10561736.399399374,19888346.06861138
COD,COD,68,Democratic Republic of the Congo,State,coastal_flood_100yr_jrc_2024,1401.2388149797916,56381060.83611684,107219316.18813863
NGA,NGA,182,Nigeria,State,coastal_flood_100yr_jrc_2024,209910.71553264733,110644735.8766128,229590634.90543824
CCK,CCK,56,Cocos (Keeling) Islands,Territory,coastal_flood_100yr_jrc_2024,0.0,0.0,0.0
MYT,MYT,161,Mayotte,Territory,coastal_flood_100yr_jrc_2024,136.38555576838553,147634.14469493,277282.4937516196
IOT,IOT,38,Chagos Archipelagio,Territory,coastal_flood_100yr_jrc_2024,0.0,0.0,0.0
xUK,xUK,1015,Akrotiri,Territory,coastal_flood_100yr_jrc_2024,150.24147286657586,3439.753306853785,22690.938010521924
REU,REU,206,Réunion,Territory,coastal_flood_100yr_jrc_2024,0.0,224537.72307396837,852714.9809319193
COG,COG,59,Congo,State,coastal_flood_100yr_jrc_2024,937.0399296284886,2954338.4737682007,6215403.9365353
CXR,CXR,54,Christmas Island,Territory,coastal_flood_100yr_jrc_2024,0.0,0.0,811.3838603116517
xFR,xFR,1013,Glorioso Islands,Territory,coastal_flood_100yr_jrc_2024,0.0,0.0,0.0
xSR,xSR,216,Scarborough Reef,Sovereignty unsettled,coastal_flood_100yr_jrc_2024,0.0,0.0,0.0
xAP,xAP,15,Arunachal Pradesh,Sovereignty unsettled,coastal_flood_100yr_jrc_2024,0.0,316070.9274903285,978825.6229220572
xAC,xAC,2,Aksai Chin,Sovereignty unsettled,coastal_flood_100yr_jrc_2024,0.0,3438.9183999950105,13407.303098457278
xxx,xxx,52,China/India,Sovereignty unsettled,coastal_flood_100yr_jrc_2024,0.0,732.2037546315175,1583.0022750562512
xPI,xPI,193,Paracel Islands,Sovereignty unsettled,coastal_flood_100yr_jrc_2024,0.0,86.26219733395412,419.141173358992
xSK,xSK,218,Senkaku Islands,Sovereignty unsettled,coastal_flood_100yr_jrc_2024,0.0,0.0,0.0
xSI,xSI,230,Spratly Islands,Sovereignty unsettled,coastal_flood_100yr_jrc_2024,0.0,0.0,0.0
TWN,TWN,288,Taiwan,Special Region or Province,coastal_flood_100yr_jrc_2024,74111.93419446581,3323357.063422192,23123129.83152925
MAC,MAC,149,Macao,Special Region or Province,coastal_flood_100yr_jrc_2024,19289.24187618571,106444.16538303928,588561.0491349165
xJK,xJK,285,Jammu and Kashmir,Sovereignty unsettled,coastal_flood_100yr_jrc_2024,0.0,4724840.357535148,14458474.533882707
HKG,HKG,281,Hong Kong,Special Region or Province,coastal_flood_100yr_jrc_2024,102749.17067220142,809855.4847836299,6416595.8426142605
BEL,BEL,27,Belgium,State,coastal_flood_100yr_jrc_2024,82569.54857597622,2300217.4732490163,11735678.526262924
LUX,LUX,148,Luxembourg,State,coastal_flood_100yr_jrc_2024,0.0,125880.92999996606,665488.9159145015
BRN,BRN,40,Brunei Darussalam,State,coastal_flood_100yr_jrc_2024,349.32388428784907,114778.69782310272,452556.379840337
LVA,LVA,140,Latvia,State,coastal_flood_100yr_jrc_2024,1140.7961060028465,352476.9483869648,1874322.021287544
GBR,GBR,256,United Kingdom of Great Britain & Northern Ireland,State,coastal_flood_100yr_jrc_2024,303373.00054307166,13833633.36514639,66801101.24706387
SVK,SVK,223,Slovakia,State,coastal_flood_100yr_jrc_2024,0.0,1043138.9547115172,5519415.897061884
SGP,SGP,222,Singapore,State,coastal_flood_100yr_jrc_2024,114.66043177704704,863181.0494423833,5744095.112007035
FIN,FIN,84,Finland,State,coastal_flood_100yr_jrc_2024,6513.041392254553,991548.9208887324,5481302.3885392025
AUT,AUT,18,Austria,State,coastal_flood_100yr_jrc_2024,0.0,1562148.624465223,9130651.449956167
LTU,LTU,147,Lithuania,State,coastal_flood_100yr_jrc_2024,1075.947397980569,509050.7715009928,2863772.09982621
LIE,LIE,146,Liechtenstein,State,coastal_flood_100yr_jrc_2024,0.0,6875.366860336075,39264.44906781761
