ISO3,name,ucode,child_population_exposed
PNG,Papua New Guinea,PNG_V1,501653.59804841585
POL,Poland,POL_V1,0.0
PRK,Democratic People's Republic of Korea,PRK_V1,5791101.639693379
PRT,Portugal,PRT_V1,1517770.2929107107
PRY,Paraguay,PRY_V1,0.0
PSE,State of Palestine,PSE_V1,0.0
QAT,Qatar,QAT_V1,0.0
ROU,Romania,ROU_V1,0.0
RUS,Russian Federation,RUS_V1,487512.9129668976
RWA,Rwanda,RWA_V1,0.0
SAU,Saudi Arabia,SAU_V1,1.4862619976629503
SDN,Sudan,SDN_V1,0.0
SEN,Senegal,SEN_V1,0.0
SGP,Singapore,SGP_V1,0.0
SLB,Solomon Islands,SLB_V1,243157.67809257744
SLE,Sierra Leone,SLE_V1,0.0
SLV,El Salvador,SLV_V1,872175.1465478064
SMR,San Marino,SMR_V1,0.0
SOM,Somalia,SOM_V1,603207.4099112052
SRB,Serbia,SRB_V1,0.0
SSD,South Sudan,SSD_V1,0.0
STP,Sao Tome and Principe,STP_V1,0.0
SUR,Suriname,SUR_V1,0.0
SVK,Slovakia,SVK_V1,0.0
SVN,Slovenia,SVN_V1,0.0
SWE,Sweden,SWE_V1,0.0
SWZ,Eswatini,SWZ_V1,202635.67921858118
SYC,Seychelles,SYC_V1,2.480611037972438
SYR,Syrian Arab Republic,SYR_V1,0.0
TCD,Chad,TCD_V1,0.0
TGO,Togo,TGO_V1,0.0
THA,Thailand,THA_V1,598609.5224883284
TJK,Tajikistan,TJK_V1,0.0
TKM,Turkmenistan,TKM_V1,0.0
TLS,Timor-Leste,TLS_V1,535005.1269496549
TON,Tonga,TON_V1,30743.257340092558
TTO,Trinidad and Tobago,TTO_V1,312629.181893995
TUN,Tunisia,TUN_V1,0.0
TUR,Republic of Türkiye,TUR_V1,0.0
TUV,Tuvalu,TUV_V1,471.4222945360941
TZA,United Republic of Tanzania,TZA_V1,4482.605407188255
UGA,Uganda,UGA_V1,0.0
UKR,Ukraine,UKR_V1,0.0
URY,Uruguay,URY_V1,0.0
USA,United States of America,USA_V1,3.4603479576324284E7
UZB,Uzbekistan,UZB_V1,0.0
VAT,Holy See,VAT_V1,0.0
VCT,Saint Vincent and the Grenadines,VCT_V1,12072.642501737977
VEN,Venezuela,VEN_V1,5666591.965869107
VNM,Viet Nam,VNM_V1,2.77189695587326E7
VUT,Vanuatu,VUT_V1,105369.62858040213
WSM,Samoa,WSM_V1,77894.11904934472
YEM,Yemen,YEM_V1,1204519.968622453
ZAF,South Africa,ZAF_V1,2509370.833417371
ZMB,Zambia,ZMB_V1,0.0
ZWE,Zimbabwe,ZWE_V1,98674.63087981482
AUS,Ashmore and Cartier Islands,AUS1_V1,0.0
CXR,Christmas Island,CXR_V1,0.0
CCK,Cocos (Keeling) Islands,CCK_V1,0.0
HMD,Heard Island and McDonald Islands,HMD_V1,0.0
NFK,Norfolk Island,NFK_V1,0.0
FRO,Faroe Islands,FRO_V1,0.0
ESP,Canary Islands,ESP1_V1,286450.8903569244
ALA,Åland Islands,ALA_V1,0.0
ATF,Bassas da India,ATF1_V1,0.0
GUF,French Guiana,GUF_V1,0.0
ATF,French Southern Territories,ATF_V1,0.0
ATF,Europa Island,ATF2_V1,0.0
GLP,Guadeloupe,GLP_V1,64167.25479237199
ATF,Juan de Nova Island,ATF3_V1,0.0
MTQ,Martinique,MTQ_V1,52458.94476972645
BLM,Saint Barthélemy,BLM_V1,1839.4786153706125
MYT,Mayotte,MYT_V1,125556.61615586372
REU,Réunion,REU_V1,206160.24515636812
SPM,Saint Pierre et Miquelon,SPM_V1,27.687562410588203
xFR,Tromelin Island,xFR1_V1,0.0
WLF,Wallis and Futuna,WLF_V1,891.3538325072036
MAF,Saint Martin,MAF_V1,7053.4227961610495
xFR,Glorioso Islands,xFR2_V1,0.0
IOT,Chagos Archipelagio,IOT_V1,0.0
GGY,Guernsey,GGY_V1,8339.825414186927
IMN,Isle of Man,IMN_V1,12156.66349915898
JEY,Jersey,JEY_V1,17332.049128381685
SGS,South Georgia and the South Sandwich Islands,SGS_V1,0.0
xUK,Akrotiri,xUK1_V1,0.0
xUK,Dekelia,xUK2_V1,0.0
ABW,Aruba,ABW_V1,15492.190145018418
CUW,Curaçao,CUW_V1,24305.188200501492
BES,Saba,BES1_V1,236.6988509126738
BES,Sint Eustatius,BES2_V1,389.7952766730505
BES,Bonaire,BES3_V1,4401.895695432772
SXM,Sint Maarten,SXM_V1,6846.1430651081955
BVT,Bouvet Island,BVT_V1,0.0
