ISO3,name,ucode,child_population_exposed
SUR,Suriname,SUR_V1,0.0
SVK,Slovakia,SVK_V1,1047008.1892087662
SVN,Slovenia,SVN_V1,359274.2778002139
SWE,Sweden,SWE_V1,1649333.4901183215
SWZ,Eswatini,SWZ_V1,502071.74778567173
SYC,Seychelles,SYC_V1,0.0
SYR,Syrian Arab Republic,SYR_V1,118146.21441072412
TCD,Chad,TCD_V1,0.0
TGO,Togo,TGO_V1,0.0
THA,Thailand,THA_V1,0.0
TJK,Tajikistan,TJK_V1,631189.6118075466
TKM,Turkmenistan,TKM_V1,2275946.8133831467
TLS,Timor-Leste,TLS_V1,0.0
TON,Tonga,TON_V1,0.0
TTO,Trinidad and Tobago,TTO_V1,0.0
TUN,Tunisia,TUN_V1,2764563.703827988
TUR,Republic of Türkiye,TUR_V1,1931722.8051746702
TUV,Tuvalu,TUV_V1,0.0
TZA,United Republic of Tanzania,TZA_V1,0.0
UGA,Uganda,UGA_V1,0.0
UKR,Ukraine,UKR_V1,5935100.596485986
URY,Uruguay,URY_V1,446300.96375424275
USA,United States of America,USA_V1,1.5037654105805838E7
UZB,Uzbekistan,UZB_V1,9550143.349520369
VAT,Holy See,VAT_V1,0.0
VCT,Saint Vincent and the Grenadines,VCT_V1,0.0
VEN,Venezuela,VEN_V1,0.0
VNM,Viet Nam,VNM_V1,0.0
VUT,Vanuatu,VUT_V1,0.0
WSM,Samoa,WSM_V1,0.0
YEM,Yemen,YEM_V1,233.2116132415831
ZAF,South Africa,ZAF_V1,9618769.73699248
ZMB,Zambia,ZMB_V1,0.0
ZWE,Zimbabwe,ZWE_V1,1757546.2277796837
AUS,Ashmore and Cartier Islands,AUS1_V1,0.0
CXR,Christmas Island,CXR_V1,0.0
CCK,Cocos (Keeling) Islands,CCK_V1,0.0
HMD,Heard Island and McDonald Islands,HMD_V1,0.0
NFK,Norfolk Island,NFK_V1,0.0
FRO,Faroe Islands,FRO_V1,0.0
ESP,Canary Islands,ESP1_V1,34616.24286935972
ALA,Åland Islands,ALA_V1,0.0
ATF,Bassas da India,ATF1_V1,0.0
GUF,French Guiana,GUF_V1,0.0
ATF,French Southern Territories,ATF_V1,0.0
ATF,Europa Island,ATF2_V1,0.0
GLP,Guadeloupe,GLP_V1,0.0
ATF,Juan de Nova Island,ATF3_V1,0.0
MTQ,Martinique,MTQ_V1,0.0
BLM,Saint Barthélemy,BLM_V1,0.0
MYT,Mayotte,MYT_V1,0.0
REU,Réunion,REU_V1,0.0
SPM,Saint Pierre et Miquelon,SPM_V1,0.0
xFR,Tromelin Island,xFR1_V1,0.0
WLF,Wallis and Futuna,WLF_V1,0.0
MAF,Saint Martin,MAF_V1,0.0
xFR,Glorioso Islands,xFR2_V1,0.0
IOT,Chagos Archipelagio,IOT_V1,0.0
GGY,Guernsey,GGY_V1,0.0
IMN,Isle of Man,IMN_V1,0.0
JEY,Jersey,JEY_V1,0.0
SGS,South Georgia and the South Sandwich Islands,SGS_V1,0.0
xUK,Akrotiri,xUK1_V1,0.0
xUK,Dekelia,xUK2_V1,0.0
ABW,Aruba,ABW_V1,0.0
CUW,Curaçao,CUW_V1,0.0
BES,Saba,BES1_V1,0.0
BES,Sint Eustatius,BES2_V1,0.0
BES,Bonaire,BES3_V1,0.0
SXM,Sint Maarten,SXM_V1,0.0
BVT,Bouvet Island,BVT_V1,0.0
SJM,Svalbard and Jan Mayen Islands,SJM_V1,0.0
COK,Cook Islands,COK_V1,0.0
NIU,Niue,NIU_V1,0.0
PRT,Azores Islands,PRT1_V1,0.0
PRT,Madeira Islands,PRT2_V1,0.0
UMI,Baker Island,UMI1_V1,0.0
UMI,Wake Island,UMI2_V1,0.0
UMI,Howland Island,UMI3_V1,0.0
UMI,Jarvis Island,UMI4_V1,0.0
UMI,Johnston Atoll,UMI5_V1,0.0
UMI,Kingman Reef,UMI6_V1,0.0
UMI,Midway Islands,UMI7_V1,0.0
UMI,Palmyra Atoll,UMI8_V1,0.0
UMI,Navassa Island,UMI9_V1,0.0
MNP,Northern Mariana Is. (USA),MNP_V1,0.0
PRI,Puerto Rico (USA),PRI_V1,0.0
VEN,Bird Island,VEN1_V1,0.0
