iso3,iso3_wfp,wfp_id,adm0_name,type,hazard,child_population_exposed,child_population_total,population_total
LIE,LIE,146,Liechtenstein,State,fire_FRP_nasa_2001-2024,0.0,6875.366860336075,39264.44906781761
SVN,SVN,224,Slovenia,State,fire_FRP_nasa_2001-2024,2743.3714780291893,375370.8680088072,2110515.239747517
CZE,CZE,65,Czechia,State,fire_FRP_nasa_2001-2024,21599.046687090864,2026392.756159295,10797124.828764644
NLD,NLD,177,Netherlands,State,fire_FRP_nasa_2001-2024,29448.24711276752,3317694.0663007777,18030052.847647004
NOR,NOR,186,Norway,State,fire_FRP_nasa_2001-2024,6514.615732085976,1019110.0162667148,5136993.174582463
DNK,DNK,69,Denmark,State,fire_FRP_nasa_2001-2024,22561.771012028672,1147086.5097039016,5883745.467643925
POL,POL,198,Poland,State,fire_FRP_nasa_2001-2024,92864.270243624,6998876.868678058,38662133.262678176
DEU,DEU,93,Germany,State,fire_FRP_nasa_2001-2024,101572.64634860144,14032551.906228645,84349307.87342775
IDN,IDN,272,Indonesia,State,fire_FRP_nasa_2001-2024,2018150.0061078295,81524741.71361367,274772145.5402546
HUN,HUN,113,Hungary,State,fire_FRP_nasa_2001-2024,45468.43131765426,1702868.9151752773,9688337.90151386
EST,EST,78,Estonia,State,fire_FRP_nasa_2001-2024,6064.577822196353,265271.9056398523,1354994.099118999
CHE,CHE,237,Switzerland,State,fire_FRP_nasa_2001-2024,3013.688643921911,1593959.8593163334,8906116.805290278
IRL,IRL,119,Ireland,State,fire_FRP_nasa_2001-2024,14530.138302498945,1189865.981893454,5179629.594122755
PLW,PLW,189,Palau,State,fire_FRP_nasa_2001-2024,0.0,3758.9448553167817,16582.14631588159
MMR,MMR,273,Myanmar,State,fire_FRP_nasa_2001-2024,1254670.421423103,15460209.413522577,53005901.19039029
MYS,MYS,153,Malaysia,State,fire_FRP_nasa_2001-2024,71661.1274678281,9438208.82051826,35021324.28789039
LAO,LAO,139,Lao People's Democratic Republic,State,fire_FRP_nasa_2001-2024,1080187.1577636397,2799992.107905541,7773197.463827402
KHM,KHM,44,Cambodia,State,fire_FRP_nasa_2001-2024,135075.2393526958,6211089.468707345,17474504.368509203
SWE,SWE,236,Sweden,State,fire_FRP_nasa_2001-2024,32029.50646869759,2091143.1934195124,10196581.003937244
CHN,CHN,53,China,State,fire_FRP_nasa_2001-2024,4701152.943400515,277313542.14029336,1398053699.0500312
PHL,PHL,275,Philippines,State,fire_FRP_nasa_2001-2024,760659.5221193827,38871077.878363885,111718450.53016572
BIH,BIH,34,Bosnia and Herzegovina,State,fire_FRP_nasa_2001-2024,8077.915455593215,515895.4783679136,3178210.5685280324
TJK,TJK,239,Tajikistan,State,fire_FRP_nasa_2001-2024,70845.28642452658,4387169.652760619,10514773.839167291
TKM,TKM,250,Turkmenistan,State,fire_FRP_nasa_2001-2024,101804.29853015352,2720145.0325089544,7502559.663057942
KGZ,KGZ,138,Kyrgyzstan,State,fire_FRP_nasa_2001-2024,76096.00175942204,2689810.5495979697,7128254.228270121
BLR,BLR,26,Belarus,State,fire_FRP_nasa_2001-2024,41491.84276499476,1792217.4614245505,9086109.98586381
ARM,ARM,13,Armenia,State,fire_FRP_nasa_2001-2024,7246.057307393319,692304.0339001681,2985294.80775838
GEO,GEO,92,Georgia,State,fire_FRP_nasa_2001-2024,15807.464483907615,937439.5692579546,3784213.4233360607
UZB,UZB,261,Uzbekistan,State,fire_FRP_nasa_2001-2024,287758.0782169574,12787695.431002842,35821875.85684069
AZE,AZE,19,Azerbaijan,State,fire_FRP_nasa_2001-2024,99817.22601628212,2747049.024153959,10305389.436339865
MNE,MNE,2647,Montenegro,State,fire_FRP_nasa_2001-2024,5850.84248355505,138275.7518197032,622923.7677953261
KAZ,KAZ,132,Kazakhstan,State,fire_FRP_nasa_2001-2024,480298.0568396143,7014132.875079232,20544183.168450046
UKR,UKR,254,Ukraine,State,fire_FRP_nasa_2001-2024,266330.6476668515,6441730.802744021,37108428.06449344
SRB,SRB,2648,Serbia,State,fire_FRP_nasa_2001-2024,28602.09588133865,1616522.1809762565,8447238.991488868
BGR,BGR,41,Bulgaria,State,fire_FRP_nasa_2001-2024,59412.97750366546,1180649.076379971,6741954.2780567575
MDA,MDA,165,Moldova,State,fire_FRP_nasa_2001-2024,57013.19982053388,714907.5192525199,3053481.236112128
HRV,HRV,62,Croatia,State,fire_FRP_nasa_2001-2024,36393.64352633242,671401.7886066568,3814352.804866864
VNM,VNM,264,Viet Nam,State,fire_FRP_nasa_2001-2024,307244.5541110238,28054759.06497631,100239442.09206602
