iso3,wfp_id,adm0_name,type,hazard,child_population_exposed,child_population_total,population_total
SAU,215,Saudi Arabia,State,air_pollution_pm25_1998-2023,8868810.054910341,9337856.995743198,32986953.00129721
SDN,280,Sudan,State,air_pollution_pm25_1998-2023,23017876.67254997,23464053.82112306,49865909.172933295
SGP,222,Singapore,State,air_pollution_pm25_1998-2023,585404.9922264797,870560.5797558889,5793304.950766583
SEN,278,Senegal,State,air_pollution_pm25_1998-2023,7979316.040024137,8270845.118411524,18125219.403824627
SLB,225,Solomon Islands,State,air_pollution_pm25_1998-2023,205192.7695711474,347383.2926972412,699046.1740824499
SLV,75,El Salvador,State,air_pollution_pm25_1998-2023,1890646.67397454,1913990.3562425305,6298205.349703249
SLE,221,Sierra Leone,State,air_pollution_pm25_1998-2023,3750075.281026158,3843554.251305169,8475710.84991038
SOM,226,Somalia,State,air_pollution_pm25_1998-2023,7988935.401905009,9019740.484482087,17745145.825033713
SMR,213,San Marino,State,air_pollution_pm25_1998-2023,5133.700184291561,5133.700184291561,32591.888848521667
NZL,179,New Zealand,State,air_pollution_pm25_1998-2023,889482.3988527285,1136542.5251484122,5064248.282797882
SRB,2648,Serbia,State,air_pollution_pm25_1998-2023,1176118.67108475,1176150.825566786,8447227.708104627
SVK,223,Slovakia,State,air_pollution_pm25_1998-2023,1042779.4807953348,1043142.8692212112,5519449.023483421
SSD,287,South Sudan,State,air_pollution_pm25_1998-2023,5562673.810471253,5568108.033078002,11795044.308237389
STP,214,Sao Tome and Principe,State,air_pollution_pm25_1998-2023,20545.608690524805,104965.0344655906,216939.55984168025
SVN,224,Slovenia,State,air_pollution_pm25_1998-2023,375673.5819081437,375673.5819081437,2111647.805266223
SUR,233,Suriname,State,air_pollution_pm25_1998-2023,195106.74300543952,195175.26057338997,630537.7498989897
SWZ,235,Eswatini,State,air_pollution_pm25_1998-2023,493190.75207737455,493249.9917045235,1236391.7812091997
SWE,236,Sweden,State,air_pollution_pm25_1998-2023,1904980.467780312,2075432.404666976,10107458.757472014
TGO,243,Togo,State,air_pollution_pm25_1998-2023,4106081.5288142497,4352983.959723549,9371853.756197968
TCD,50,Chad,State,air_pollution_pm25_1998-2023,10558721.26971672,10563114.843832966,19892914.389687844
SYC,220,Seychelles,State,air_pollution_pm25_1998-2023,1221.9288932649783,30281.785581274573,110503.57742409957
SYR,238,Syrian Arab Republic,State,air_pollution_pm25_1998-2023,8924186.7906862,8929443.803054534,24156884.259887222
THA,240,Thailand,State,air_pollution_pm25_1998-2023,12619663.82758567,13239540.433464192,71226166.65231337
TJK,239,Tajikistan,State,air_pollution_pm25_1998-2023,4359061.278740224,4387147.841555221,10514845.52782798
TON,245,Tonga,State,air_pollution_pm25_1998-2023,2080.794226920093,43787.28301970748,91193.63904947689
TTO,246,Trinidad and Tobago,State,air_pollution_pm25_1998-2023,315132.3904779494,325634.2330082643,1482464.5980286642
TKM,250,Turkmenistan,State,air_pollution_pm25_1998-2023,2706144.2857439327,2721095.1628679777,7503146.524563427
TLS,242,Timor-Leste,State,air_pollution_pm25_1998-2023,517010.65498668735,566005.349724613,1365431.7307479528
TUV,252,Tuvalu,State,air_pollution_pm25_1998-2023,0.0,792.4737835331314,3207.772182548676
TUN,248,Tunisia,State,air_pollution_pm25_1998-2023,2721276.5438210685,3505061.870340183,12121914.034935754
TUR,249,Republic of Türkiye,State,air_pollution_pm25_1998-2023,21635956.823966004,22274942.838396296,85385396.18042699
URY,260,Uruguay,State,air_pollution_pm25_1998-2023,664395.7226376879,767231.859711045,3371693.0755634974
UKR,254,Ukraine,State,air_pollution_pm25_1998-2023,6250203.719765696,6430335.640520839,37050642.900068894
UGA,253,Uganda,State,air_pollution_pm25_1998-2023,24570449.00361648,25129259.248308297,49309225.09216296
TZA,257,United Republic of Tanzania,State,air_pollution_pm25_1998-2023,31217822.43579439,33009939.060595367,66805778.45477117
UZB,261,Uzbekistan,State,air_pollution_pm25_1998-2023,12793438.437729292,12807240.68492774,35871507.22492246
VAT,110,Holy See,State,air_pollution_pm25_1998-2023,16.458007565666644,16.458007565666644,572.078255211391
VEN,263,Venezuela,State,air_pollution_pm25_1998-2023,8292249.674021141,8674825.468031013,27788482.792495493
VCT,211,Saint Vincent and the Grenadines,State,air_pollution_pm25_1998-2023,14218.258551631285,27568.414052962704,96964.04302291316
VNM,264,Viet Nam,State,air_pollution_pm25_1998-2023,24377287.60592521,28020535.460639443,100066740.29425308
VUT,277,Vanuatu,State,air_pollution_pm25_1998-2023,59747.9816878811,141923.4941187381,281242.4231341602
WSM,212,Samoa,State,air_pollution_pm25_1998-2023,2995.007817050602,85078.31753729002,193052.459911529
YEM,269,Yemen,State,air_pollution_pm25_1998-2023,17992998.76250804,18647028.16196009,39243002.16110872
ZAF,227,South Africa,State,air_pollution_pm25_1998-2023,18454774.96273597,19551218.440278165,62854816.41588908
ZWE,271,Zimbabwe,State,air_pollution_pm25_1998-2023,7943717.018522922,7945012.017134824,16496124.651762815
ZMB,270,Zambia,State,air_pollution_pm25_1998-2023,10065017.010586703,10196835.65307661,20958246.57305305
AUS,16,Ashmore and Cartier Islands,Territory,air_pollution_pm25_1998-2023,0.0,0.0,0.0
CCK,56,Cocos (Keeling) Islands,Territory,air_pollution_pm25_1998-2023,0.0,83.53129263490155,0.0
CXR,54,Christmas Island,Territory,air_pollution_pm25_1998-2023,1.4389030029415153,140.6222424644524,811.4187892529109
ESP,1006,Canary Islands,Territory,air_pollution_pm25_1998-2023,107915.98728540292,310648.56691154774,2075160.502232588
FRO,82,Faroe Islands,Territory,air_pollution_pm25_1998-2023,4342.84041393316,10615.136152522731,45318.06391283055
NFK,184,Norfolk Island,Territory,air_pollution_pm25_1998-2023,0.0,414.28329016699615,2167.918484518113
ALA,1000,Åland Islands,Territory,air_pollution_pm25_1998-2023,0.0,0.0,24356.800147148235
ATF,25,Bassas da India,Territory,air_pollution_pm25_1998-2023,0.0,0.0,0.0
ATF,88,French Southern Territories,Territory,air_pollution_pm25_1998-2023,0.0,0.0,0.0
GUF,86,French Guiana,Territory,air_pollution_pm25_1998-2023,82525.32511537606,112482.99031992305,297762.45237326773
GLP,100,Guadeloupe,Territory,air_pollution_pm25_1998-2023,62216.535072029386,76120.64983995781,355319.01810762903
ATF,80,Europa Island,Territory,air_pollution_pm25_1998-2023,0.0,0.0,0.0
ATF,131,Juan de Nova Island,Territory,air_pollution_pm25_1998-2023,0.0,0.0,0.0
MYT,161,Mayotte,Territory,air_pollution_pm25_1998-2023,17897.857230874062,147634.14469493,277282.4937516196
BLM,1004,Saint Barthélemy,Territory,air_pollution_pm25_1998-2023,1105.9123500176213,2620.9665965966,9825.938494119338
MTQ,158,Martinique,Territory,air_pollution_pm25_1998-2023,57733.65906476057,63722.782179745984,326254.2060050585
SPM,210,Saint Pierre et Miquelon,Territory,air_pollution_pm25_1998-2023,39.56012956074931,439.2365161210517,2567.490641200802
REU,206,Réunion,Territory,air_pollution_pm25_1998-2023,155451.67725847746,224527.03551220748,852375.2411751292
