iso3,iso3_wfp,wfp_id,adm0_name,type,hazard,child_population_exposed,child_population_total,population_total
ZWE,ZWE,271,Zimbabwe,State,drought_spei_copernicus_1940-2024,1159350.0201054623,7925949.8274858,16454098.879832966
LSO,LSO,142,Lesotho,State,drought_spei_copernicus_1940-2024,21085.973780311047,953831.1615944308,2322831.381771127
ERI,ERI,77,Eritrea,State,drought_spei_copernicus_1940-2024,57839.399184171445,1605340.2850138838,3486028.8843210307
MDG,MDG,150,Madagascar,State,drought_spei_copernicus_1940-2024,1490253.7161486084,14080000.589749362,30662937.690577693
AGO,AGO,8,Angola,State,drought_spei_copernicus_1940-2024,15777069.857550466,18697013.117849413,36677663.43804505
SOM,SOM,226,Somalia,State,drought_spei_copernicus_1940-2024,25044.408553865986,9233126.314953228,17942035.477664348
BDI,BDI,43,Burundi,State,drought_spei_copernicus_1940-2024,619242.6653389601,7250305.555743556,13877805.40275468
NAM,NAM,172,Namibia,State,drought_spei_copernicus_1940-2024,74589.50228428518,1268826.7987188864,2950947.7825267026
BWA,BWA,35,Botswana,State,drought_spei_copernicus_1940-2024,3723.4546327499033,941947.7751194158,2474286.5822120337
ETH,ETH,79,Ethiopia,State,drought_spei_copernicus_1940-2024,9658238.4800312,60012523.18200912,130467249.22084711
MOZ,MOZ,170,Mozambique,State,drought_spei_copernicus_1940-2024,4319430.107133899,17310330.69920364,33712198.55763355
MAR,MAR,169,Morocco,State,drought_spei_copernicus_1940-2024,1198653.3288941232,11603413.342636012,37562571.69452273
JOR,JOR,130,Jordan,State,drought_spei_copernicus_1940-2024,18971.27124269916,4258481.420526452,11524558.162343549
LBN,LBN,141,Lebanon,State,drought_spei_copernicus_1940-2024,0.0,1848836.920784989,5712309.3572406
DJI,DJI,70,Djibouti,State,drought_spei_copernicus_1940-2024,0.0,408368.2130373667,1114602.9636987098
PSE,PSE,3000,State of Palestine,State,drought_spei_copernicus_1940-2024,24135.93148284806,2444198.964960631,5405340.641877392
LBY,LBY,145,Libya,State,drought_spei_copernicus_1940-2024,41729.04916754115,2356638.171646258,7022794.066556983
BRA,BRA,37,Brazil,State,drought_spei_copernicus_1940-2024,22974619.564900924,49876676.879620895,207346457.64160904
TZA,TZA,257,United Republic of Tanzania,State,drought_spei_copernicus_1940-2024,3095259.4933319413,33130274.798303712,67073520.83656046
SAU,SAU,215,Saudi Arabia,State,drought_spei_copernicus_1940-2024,12043.064691924445,9328833.82689227,32945916.14528758
SDN,SDN,280,Sudan,State,drought_spei_copernicus_1940-2024,2767735.821034419,23488029.04550255,49911281.58073561
SYR,SYR,238,Syrian Arab Republic,State,drought_spei_copernicus_1940-2024,243464.28002054128,8833088.122707725,23915629.34854489
TUN,TUN,248,Tunisia,State,drought_spei_copernicus_1940-2024,423565.2704770052,3504858.494188295,12116869.540838895
YEM,YEM,269,Yemen,State,drought_spei_copernicus_1940-2024,844321.6192521602,18814808.98563313,39572946.35670203
MDV,MDV,154,Maldives,State,drought_spei_copernicus_1940-2024,0.0,110809.98496625746,245759.77551621463
DZA,DZA,4,Algeria,State,drought_spei_copernicus_1940-2024,2661769.109074313,16175632.459756382,45659901.1577073
EGY,EGY,284,Egypt,State,drought_spei_copernicus_1940-2024,12320.594414564224,43376419.52835634,114454361.4192514
TGO,TGO,243,Togo,State,drought_spei_copernicus_1940-2024,1950140.745084004,4349295.341023058,9364149.79302982
STP,STP,214,Sao Tome and Principe,State,drought_spei_copernicus_1940-2024,99903.24077378702,104865.66544531602,216524.5402317532
CAF,CAF,49,Central African Republic,State,drought_spei_copernicus_1940-2024,1923830.2047783397,2937655.690099034,5183525.560837803
GNQ,GNQ,76,Equatorial Guinea,State,drought_spei_copernicus_1940-2024,556368.8721495507,806666.0510012305,1832484.2318274712
SLE,SLE,221,Sierra Leone,State,drought_spei_copernicus_1940-2024,520534.4941194818,3843305.6299135946,8473084.115281714
GMB,GMB,90,Gambia,State,drought_spei_copernicus_1940-2024,31434.62458934752,1288774.4491890026,2698802.3399611125
NER,NER,181,Niger,State,drought_spei_copernicus_1940-2024,202361.55236911352,14377519.89966878,26753611.39018842
GIN,GIN,106,Guinea,State,drought_spei_copernicus_1940-2024,929416.3211213792,6960201.421120352,14547361.200268423
