ISO3,name,ucode,child_population_exposed
UKR,Ukraine,UKR_V1,2872445.8585660225
URY,Uruguay,URY_V1,195581.35007195018
USA,United States of America,USA_V1,4.518893271555185E7
UZB,Uzbekistan,UZB_V1,81593.32472412394
VAT,Holy See,VAT_V1,0.0
VCT,Saint Vincent and the Grenadines,VCT_V1,0.0
VEN,Venezuela,VEN_V1,1104322.6247712653
VNM,Viet Nam,VNM_V1,2.4067582107208014E7
VUT,Vanuatu,VUT_V1,104388.7862733068
WSM,Samoa,WSM_V1,2189.002927219658
YEM,Yemen,YEM_V1,1.890406334389927E7
ZAF,South Africa,ZAF_V1,1.6029858016673002E7
ZMB,Zambia,ZMB_V1,3265756.398555419
ZWE,Zimbabwe,ZWE_V1,1792120.264261015
AUS,Ashmore and Cartier Islands,AUS1_V1,0.0
CXR,Christmas Island,CXR_V1,0.0
CCK,Cocos (Keeling) Islands,CCK_V1,0.0
HMD,Heard Island and McDonald Islands,HMD_V1,0.0
NFK,Norfolk Island,NFK_V1,0.0
FRO,Faroe Islands,FRO_V1,0.0
ESP,Canary Islands,ESP1_V1,25126.862459058793
ALA,Åland Islands,ALA_V1,0.0
ATF,Bassas da India,ATF1_V1,0.0
GUF,French Guiana,GUF_V1,0.0
ATF,French Southern Territories,ATF_V1,0.0
ATF,Europa Island,ATF2_V1,0.0
GLP,Guadeloupe,GLP_V1,2348.7347065384038
ATF,Juan de Nova Island,ATF3_V1,0.0
MTQ,Martinique,MTQ_V1,35388.33951933181
BLM,Saint Barthélemy,BLM_V1,0.0
MYT,Mayotte,MYT_V1,111422.39798536082
REU,Réunion,REU_V1,91348.49241842562
SPM,Saint Pierre et Miquelon,SPM_V1,0.0
xFR,Tromelin Island,xFR1_V1,0.0
WLF,Wallis and Futuna,WLF_V1,0.0
MAF,Saint Martin,MAF_V1,0.0
xFR,Glorioso Islands,xFR2_V1,0.0
IOT,Chagos Archipelagio,IOT_V1,0.0
GGY,Guernsey,GGY_V1,4512.243959990593
IMN,Isle of Man,IMN_V1,0.0
JEY,Jersey,JEY_V1,15948.949322122195
SGS,South Georgia and the South Sandwich Islands,SGS_V1,0.0
xUK,Akrotiri,xUK1_V1,2603.03013171212
xUK,Dekelia,xUK2_V1,2751.3375687064727
ABW,Aruba,ABW_V1,184.52590628133026
CUW,Curaçao,CUW_V1,0.0
BES,Saba,BES1_V1,0.0
BES,Sint Eustatius,BES2_V1,0.0
BES,Bonaire,BES3_V1,3520.399648241466
SXM,Sint Maarten,SXM_V1,0.0
BVT,Bouvet Island,BVT_V1,0.0
SJM,Svalbard and Jan Mayen Islands,SJM_V1,0.0
COK,Cook Islands,COK_V1,0.0
NIU,Niue,NIU_V1,0.0
PRT,Azores Islands,PRT1_V1,3513.0725027502194
PRT,Madeira Islands,PRT2_V1,0.0
UMI,Baker Island,UMI1_V1,0.0
UMI,Wake Island,UMI2_V1,0.0
UMI,Howland Island,UMI3_V1,0.0
UMI,Jarvis Island,UMI4_V1,0.0
UMI,Johnston Atoll,UMI5_V1,0.0
UMI,Kingman Reef,UMI6_V1,0.0
UMI,Midway Islands,UMI7_V1,0.0
UMI,Palmyra Atoll,UMI8_V1,0.0
UMI,Navassa Island,UMI9_V1,0.0
MNP,Northern Mariana Is. (USA),MNP_V1,8782.44215016689
PRI,Puerto Rico (USA),PRI_V1,151998.3316137898
VEN,Bird Island,VEN1_V1,0.0
