child_population_exposed,adm0_ucode,level,ucode,child_population_total
0.0,AFG_V1,2,AFG_0016_0004_V1,50567.5768198557
0.0,AFG_V1,2,AFG_0016_0005_V1,44101.3518216454
0.0,AFG_V1,2,AFG_0016_0007_V1,23351.19613433218
0.0,AFG_V1,2,AFG_0016_0001_V1,46161.0616262076
0.0,AFG_V1,2,AFG_0017_0001_V1,15457.231872022712
0.0,AFG_V1,2,AFG_0017_0006_V1,16124.446239740197
0.0,AFG_V1,2,AFG_0017_0002_V1,5322.223880514211
0.0,AFG_V1,2,AFG_0017_0012_V1,80532.25304445115
0.0,AFG_V1,2,AFG_0017_0004_V1,15117.378530634787
0.0,AFG_V1,2,AFG_0017_0005_V1,40962.92203345631
0.0,AFG_V1,2,AFG_0017_0013_V1,26340.13517380552
0.0,AFG_V1,2,AFG_0017_0007_V1,29928.19771499246
0.0,AFG_V1,2,AFG_0017_0003_V1,7934.76018532509
0.0,AFG_V1,2,AFG_0017_0009_V1,34697.3283022726
0.0,AFG_V1,2,AFG_0017_0010_V1,12890.934324981356
0.0,AFG_V1,2,AFG_0017_0011_V1,39239.45648339869
0.0,AFG_V1,2,AFG_0017_0008_V1,21122.475321174126
0.0,AFG_V1,2,AFG_0018_0006_V1,13430.127040114296
0.0,AFG_V1,2,AFG_0018_0008_V1,31144.393744092104
0.0,AFG_V1,2,AFG_0018_0015_V1,25076.830245737103
0.0,AFG_V1,2,AFG_0018_0010_V1,22759.48231435526
0.0,AFG_V1,2,AFG_0018_0002_V1,17879.070072599083
0.0,AFG_V1,2,AFG_0018_0011_V1,16470.118439383852
0.0,AFG_V1,2,AFG_0018_0007_V1,19877.066286013043
0.0,AFG_V1,2,AFG_0018_0004_V1,26459.629188959563
0.0,AFG_V1,2,AFG_0018_0009_V1,9633.525231861424
0.0,AFG_V1,2,AFG_0018_0012_V1,16530.798757150686
0.0,AFG_V1,2,AFG_0018_0014_V1,18933.382469173564
0.0,AFG_V1,2,AFG_0018_0001_V1,25966.116435120675
0.0,AFG_V1,2,AFG_0018_0003_V1,17377.08074902483
0.0,AFG_V1,2,AFG_0018_0013_V1,8494.144179353878
0.0,AFG_V1,2,AFG_0018_0005_V1,21788.747625063697
0.0,AFG_V1,2,AFG_0019_0002_V1,25650.68905482371
0.0,AFG_V1,2,AFG_0019_0003_V1,93024.1284589488
0.0,AFG_V1,2,AFG_0019_0007_V1,208629.5024255532
0.0,AFG_V1,2,AFG_0019_0006_V1,49873.9066981524
0.0,AFG_V1,2,AFG_0019_0001_V1,145531.07659596892
0.0,AFG_V1,2,AFG_0019_0004_V1,55202.67145019327
0.0,AFG_V1,2,AFG_0019_0005_V1,43458.57053084166
0.0,AFG_V1,2,AFG_0020_0004_V1,47250.60578638508
0.0,AFG_V1,2,AFG_0020_0005_V1,67657.3611733754
0.0,AFG_V1,2,AFG_0020_0003_V1,21030.79542136169
0.0,AFG_V1,2,AFG_0020_0001_V1,66387.47797409474
0.0,AFG_V1,2,AFG_0020_0002_V1,89958.70041545892
0.0,AFG_V1,2,AFG_0021_0001_V1,33971.00021242324
0.0,AFG_V1,2,AFG_0021_0004_V1,24251.244650500805
0.0,AFG_V1,2,AFG_0021_0007_V1,6422.674020429686
0.0,AFG_V1,2,AFG_0021_0006_V1,8311.992938311545
0.0,AFG_V1,2,AFG_0021_0003_V1,13698.018485848404
0.0,AFG_V1,2,AFG_0021_0005_V1,6992.525766853491
0.0,AFG_V1,2,AFG_0021_0002_V1,27806.835559495103
0.0,AFG_V1,2,AFG_0022_0003_V1,36523.22991893175
0.0,AFG_V1,2,AFG_0022_0002_V1,30706.60952385032
0.0,AFG_V1,2,AFG_0022_0006_V1,35441.95836595942
0.0,AFG_V1,2,AFG_0022_0001_V1,61632.937275024015
0.0,AFG_V1,2,AFG_0022_0004_V1,55157.13635938881
0.0,AFG_V1,2,AFG_0022_0008_V1,37544.60921546759
0.0,AFG_V1,2,AFG_0022_0005_V1,99503.1789177139
0.0,AFG_V1,2,AFG_0022_0007_V1,146293.39654130122
0.0,AFG_V1,2,AFG_0022_0009_V1,18622.83986689487
0.0,AFG_V1,2,AFG_0023_0003_V1,25906.64169803823
0.0,AFG_V1,2,AFG_0023_0022_V1,165558.53262460208
0.0,AFG_V1,2,AFG_0023_0013_V1,112992.789846615
0.0,AFG_V1,2,AFG_0023_0021_V1,22184.61260056093
0.0,AFG_V1,2,AFG_0023_0002_V1,32613.03681523544
0.0,AFG_V1,2,AFG_0023_0004_V1,46341.21578464627
0.0,AFG_V1,2,AFG_0023_0012_V1,16224.017870117475
0.0,AFG_V1,2,AFG_0023_0001_V1,115186.98689981343
0.0,AFG_V1,2,AFG_0023_0018_V1,19550.086101194924
0.0,AFG_V1,2,AFG_0023_0010_V1,45137.99424975865
0.0,AFG_V1,2,AFG_0023_0007_V1,45889.41364878159
0.0,AFG_V1,2,AFG_0023_0009_V1,40878.58712704961
0.0,AFG_V1,2,AFG_0023_0006_V1,58752.95143494262
0.0,AFG_V1,2,AFG_0023_0008_V1,67088.380723456
0.0,AFG_V1,2,AFG_0023_0015_V1,50867.18898380814
0.0,AFG_V1,2,AFG_0023_0005_V1,12428.305668741408
0.0,AFG_V1,2,AFG_0023_0014_V1,29179.38668674669
0.0,AFG_V1,2,AFG_0023_0016_V1,35069.83822903152
0.0,AFG_V1,2,AFG_0023_0019_V1,58144.1825990851
0.0,AFG_V1,2,AFG_0023_0011_V1,80707.4858138932
0.0,AFG_V1,2,AFG_0023_0017_V1,25461.631859114947
0.0,AFG_V1,2,AFG_0023_0020_V1,64664.52042333916
0.0,AFG_V1,2,AFG_0024_0003_V1,20565.77804825513
0.0,AFG_V1,2,AFG_0024_0002_V1,15404.071300139396
0.0,AFG_V1,2,AFG_0024_0001_V1,13182.397085096323
0.0,AFG_V1,2,AFG_0024_0004_V1,40750.12486594078
0.0,AFG_V1,2,AFG_0024_0005_V1,15684.503644167296
0.0,AFG_V1,2,AFG_0025_0002_V1,19176.57827763347
0.0,AFG_V1,2,AFG_0025_0005_V1,53109.16393168528
0.0,AFG_V1,2,AFG_0025_0007_V1,30222.231004286925
0.0,AFG_V1,2,AFG_0025_0001_V1,20181.31890793536
0.0,AFG_V1,2,AFG_0025_0003_V1,5768.043318760102
0.0,AFG_V1,2,AFG_0025_0004_V1,9896.70176841494
0.0,AFG_V1,2,AFG_0025_0008_V1,5646.262688568454
0.0,AFG_V1,2,AFG_0025_0006_V1,29551.158479681668
0.0,AFG_V1,2,AFG_0026_0004_V1,54570.04841390076
0.0,AFG_V1,2,AFG_0026_0017_V1,47090.10894871664
0.0,AFG_V1,2,AFG_0026_0008_V1,20324.78218024691
0.0,AFG_V1,2,AFG_0026_0010_V1,31290.96328154896
0.0,AFG_V1,2,AFG_0026_0003_V1,9995.563687166046
0.0,AFG_V1,2,AFG_0026_0018_V1,59133.02280431121
0.0,AFG_V1,2,AFG_0026_0001_V1,16667.57212523123
0.0,AFG_V1,2,AFG_0026_0002_V1,20266.64094797489
0.0,AFG_V1,2,AFG_0026_0019_V1,21423.61898120551
0.0,AFG_V1,2,AFG_0026_0013_V1,34984.17857222509
0.0,AFG_V1,2,AFG_0026_0007_V1,26039.03238269114
0.0,AFG_V1,2,AFG_0026_0015_V1,6862.145911569163
0.0,AFG_V1,2,AFG_0026_0005_V1,2854.714254099802
0.0,AFG_V1,2,AFG_0026_0016_V1,22212.59186451124
0.0,AFG_V1,2,AFG_0026_0014_V1,94788.57178143696
0.0,AFG_V1,2,AFG_0026_0012_V1,47112.21285848804
0.0,AFG_V1,2,AFG_0026_0009_V1,47208.48160021574
0.0,AFG_V1,2,AFG_0026_0006_V1,103280.76407228684
0.0,AFG_V1,2,AFG_0026_0011_V1,19371.290649187154
