ucode,max,mean,median,min
AFG_0012_0003_V1,0.0,0.0,0.0,0.0
AFG_0012_0006_V1,0.0,0.0,0.0,0.0
AFG_0012_0009_V1,0.0,0.0,0.0,0.0
AFG_0012_0015_V1,0.0,0.0,0.0,0.0
AFG_0012_0010_V1,0.0,0.0,0.0,0.0
AFG_0013_0004_V1,0.0,0.0,0.0,0.0
AFG_0013_0002_V1,0.0,0.0,0.0,0.0
AFG_0013_0011_V1,0.0,0.0,0.0,0.0
AFG_0013_0010_V1,0.0,0.0,0.0,0.0
AFG_0013_0007_V1,0.0,0.0,0.0,0.0
AFG_0013_0006_V1,0.0,0.0,0.0,0.0
AFG_0013_0005_V1,0.0,0.0,0.0,0.0
AFG_0013_0003_V1,0.0,0.0,0.0,0.0
AFG_0013_0001_V1,0.0,0.0,0.0,0.0
AFG_0013_0008_V1,0.0,0.0,0.0,0.0
AFG_0013_0009_V1,0.0,0.0,0.0,0.0
AFG_0014_0007_V1,0.0,0.0,0.0,0.0
AFG_0014_0008_V1,0.0,0.0,0.0,0.0
AFG_0014_0004_V1,0.0,0.0,0.0,0.0
AFG_0014_0013_V1,0.0,0.0,0.0,0.0
AFG_0014_0001_V1,0.0,0.0,0.0,0.0
AFG_0014_0012_V1,0.0,0.0,0.0,0.0
AFG_0014_0005_V1,0.0,0.0,0.0,0.0
AFG_0014_0010_V1,0.0,0.0,0.0,0.0
AFG_0014_0003_V1,0.0,0.0,0.0,0.0
AFG_0014_0014_V1,0.0,0.0,0.0,0.0
AFG_0014_0011_V1,0.0,0.0,0.0,0.0
AFG_0014_0002_V1,0.0,0.0,0.0,0.0
AFG_0014_0015_V1,0.0,0.0,0.0,0.0
AFG_0014_0006_V1,0.0,0.0,0.0,0.0
AFG_0014_0009_V1,0.0,0.0,0.0,0.0
AFG_0015_0007_V1,0.0,0.0,0.0,0.0
AFG_0015_0009_V1,0.0,0.0,0.0,0.0
AFG_0015_0013_V1,0.0,0.0,0.0,0.0
AFG_0015_0006_V1,0.0,0.0,0.0,0.0
AFG_0015_0015_V1,0.0,0.0,0.0,0.0
AFG_0015_0012_V1,0.0,0.0,0.0,0.0
AFG_0015_0016_V1,0.0,0.0,0.0,0.0
AFG_0015_0008_V1,0.0,0.0,0.0,0.0
AFG_0015_0001_V1,0.0,0.0,0.0,0.0
AFG_0015_0002_V1,0.0,0.0,0.0,0.0
AFG_0015_0010_V1,0.0,0.0,0.0,0.0
AFG_0015_0003_V1,0.0,0.0,0.0,0.0
AFG_0015_0005_V1,0.0,0.0,0.0,0.0
AFG_0015_0014_V1,0.0,0.0,0.0,0.0
AFG_0015_0004_V1,0.0,0.0,0.0,0.0
AFG_0015_0011_V1,0.0,0.0,0.0,0.0
AFG_0016_0006_V1,0.0,0.0,0.0,0.0
AFG_0016_0002_V1,0.0,0.0,0.0,0.0
AFG_0016_0003_V1,0.0,0.0,0.0,0.0
AFG_0016_0004_V1,0.0,0.0,0.0,0.0
AFG_0016_0005_V1,0.0,0.0,0.0,0.0
