Unnamed: 0,child_population_exposed,adm0_ucode,level,ucode,child_population_total
164,1398.016087582517,ARG_V1,1,ARG_0011_V1,92920.45203230514
165,7169.967826873791,ARG_V1,1,ARG_0010_V1,245863.6554649984
166,71718.18674650189,ARG_V1,1,ARG_0014_V1,446284.62373629294
167,9865.619395475282,ARG_V1,1,ARG_0012_V1,113655.61438219751
168,11733.592231886383,ARG_V1,1,ARG_0013_V1,533814.606795844
169,28813.29677669161,ARG_V1,1,ARG_0015_V1,201188.36462767696
170,41.14085573626262,ARG_V1,1,ARG_0023_V1,46103.988938181006
171,77381.85479197127,ARG_V1,1,ARG_0016_V1,203148.82006778923
172,32056.073548502016,ARG_V1,1,ARG_0007_V1,369012.5531886497
173,86981.95571675047,ARG_V1,1,ARG_0005_V1,450634.5394394212
174,25006.254839986523,ARG_V1,1,ARG_0018_V1,246175.3258626535
175,676612.2616785249,ARG_V1,1,ARG_0001_V1,4369109.713078072
176,40035.471169635886,ARG_V1,1,ARG_0024_V1,506802.9087708661
177,1553.7347181670505,ARG_V1,1,ARG_0020_V1,95065.64073009529
178,1767.3831562287903,ARG_V1,1,ARG_0019_V1,157145.84046077143
179,158510.96962605865,ARG_V1,1,ARG_0003_V1,370903.26304446446
180,12094.092536535984,ARG_V1,1,ARG_0004_V1,164977.75308537364
181,2858.3585770474065,ARG_V1,1,ARG_0002_V1,130760.68795135156
182,31258.934256121192,ARG_V1,1,ARG_0006_V1,994585.3109583288
183,132452.13890607207,ARG_V1,1,ARG_0022_V1,352984.04570585786
184,18402.9138327441,ARG_V1,1,ARG_0017_V1,481337.4114542264
185,99081.1152857509,ARG_V1,1,ARG_0021_V1,844271.5165930871
186,507.16591046663234,ARM_V1,1,ARM_0010_V1,11244.693644798694
187,3992.980928023703,ARM_V1,1,ARM_0003_V1,59770.13975463782
188,1303.7298866324004,ARM_V1,1,ARM_0006_V1,54022.23088634112
189,71.24139854105204,ARM_V1,1,ARM_0008_V1,55355.7611009355
190,1440.3173985802923,ARM_V1,1,ARM_0009_V1,26670.20493395133
191,1096.766142081671,ARM_V1,1,ARM_0011_V1,27160.13957954231
192,2360.545490418004,ARM_V1,1,ARM_0001_V1,248098.4202497233
193,485.4081603914901,ARM_V1,1,ARM_0005_V1,50188.33304066231
194,472.4078535048675,ARM_V1,1,ARM_0007_V1,70545.61246067088
195,203.3503356790832,ARM_V1,1,ARM_0002_V1,31531.533445583616
196,5281.347241884408,ARM_V1,1,ARM_0004_V1,58305.18278383483
197,0.0,ATG_V1,1,ATG_0007_V1,1192.0566632719451
198,0.0,ATG_V1,1,ATG_0002_V1,514.8547056603081
199,0.0,ATG_V1,1,ATG_0005_V1,567.682468718203
200,0.0,ATG_V1,1,ATG_0003_V1,11667.389352735514
201,0.0,ATG_V1,1,ATG_0004_V1,1352.789448216236
202,0.0,ATG_V1,1,ATG_0006_V1,1956.19028228246
203,0.0,ATG_V1,1,ATG_0008_V1,0.0
