child_population_exposed,adm0_ucode,level,ucode,child_population_total
229.0266205072403,AFG_V1,2,AFG_0003_0012_V1,38585.427537759024
1964.7901287972927,AFG_V1,2,AFG_0003_0010_V1,90115.55154164502
0.0,AFG_V1,2,AFG_0003_0015_V1,9195.078489737649
954.0535246133804,AFG_V1,2,AFG_0003_0004_V1,31092.17257262808
13219.849042662276,AFG_V1,2,AFG_0003_0011_V1,309288.6033085996
3236.9974278968484,AFG_V1,2,AFG_0003_0014_V1,104508.99108329696
174.77159513160586,AFG_V1,2,AFG_0003_0003_V1,18599.467165392954
1899.4314023583247,AFG_V1,2,AFG_0004_0008_V1,75862.22225523744
4060.317653299225,AFG_V1,2,AFG_0004_0016_V1,84329.4407319202
1737.8564777374268,AFG_V1,2,AFG_0004_0006_V1,35674.095680847015
12712.474546200883,AFG_V1,2,AFG_0004_0010_V1,35339.31903639024
0.0,AFG_V1,2,AFG_0004_0002_V1,0.0
7108.927626471981,AFG_V1,2,AFG_0004_0013_V1,43875.75204209713
3196.799361511276,AFG_V1,2,AFG_0004_0015_V1,101391.55151077126
357.7374124526977,AFG_V1,2,AFG_0004_0009_V1,39720.41987524962
0.0,AFG_V1,2,AFG_0004_0003_V1,1726.813933399641
1213.92172239528,AFG_V1,2,AFG_0004_0011_V1,111734.42350322955
0.0,AFG_V1,2,AFG_0004_0004_V1,92898.46745088157
0.0,AFG_V1,2,AFG_0004_0005_V1,350998.54062353587
269.4986169303457,AFG_V1,2,AFG_0004_0007_V1,58799.66401705577
11743.757997898383,AFG_V1,2,AFG_0004_0001_V1,17722.400524912402
8299.918837201332,AFG_V1,2,AFG_0004_0012_V1,39925.848390933614
0.2584699988365173,AFG_V1,2,AFG_0004_0014_V1,28045.856374406587
2910.255255460739,AFG_V1,2,AFG_0005_0007_V1,80983.65180242728
772.5601777198268,AFG_V1,2,AFG_0005_0005_V1,21897.9605965425
3822.519677703521,AFG_V1,2,AFG_0005_0003_V1,76212.83888281138
2938.647394173169,AFG_V1,2,AFG_0005_0006_V1,20789.03883889084
1801.5754132270813,AFG_V1,2,AFG_0005_0002_V1,63249.76004814774
3304.6921757410555,AFG_V1,2,AFG_0005_0004_V1,97740.92146196715
1017.7920991431264,AFG_V1,2,AFG_0005_0001_V1,29441.2387233636
358.5169378221181,AFG_V1,2,AFG_0006_0009_V1,5051.71205316747
294.4869083474664,AFG_V1,2,AFG_0006_0001_V1,50671.12173544783
624.3261972293258,AFG_V1,2,AFG_0006_0003_V1,21096.59452937043
690.3394927674649,AFG_V1,2,AFG_0006_0008_V1,35748.03779815797
343.79283856784593,AFG_V1,2,AFG_0006_0006_V1,34150.21582383899
330.67769055740507,AFG_V1,2,AFG_0006_0005_V1,44374.46510654711
1778.372424698519,AFG_V1,2,AFG_0006_0004_V1,27870.1085907066
